League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Georgia Erovnuli Liga;Georgia;165,0;165,0;2,72;0,61;0,13;0,02;1,06;1,37;1,35;0,5;0,56;0,44;28,0;0,64;6,0;0,5;0,57
Serbia U19 League;Serbia;165,0;165,0;3,58;0,54;0,16;0,67;1,64;2,13;1,45;0,59;0,65;0,35;25,0;0,76;8,0;0,5;0,63
Sweden Damallsvenskan;Sweden;165,0;164,0;3,25;0,54;0,16;0,07;1,49;1,66;1,59;0,51;0,54;0,46;38,0;0,55;25,0;0,44;0,5
Slovenia Prva Liga;Slovenia;164,0;164,0;3,12;0,51;0,14;0,3;1,53;1,71;1,41;0,55;0,59;0,41;37,0;0,57;14,0;0,71;0,64
Japan Football League;Japan;164,0;164,0;2,58;0,67;0,12;0,14;0,85;1,36;1,22;0,53;0,49;0,51;8,0;0,88;4,0;0,75;0,81
Asia - World Cup Qualifying;International (Asia);164,0;163,0;2,69;0,65;0,13;0,3;0,94;1,49;1,2;0,56;0,4;0,6;68,0;0,44;42,0;0,43;0,43
Australia NSW League 1 U20;Australia;164,0;164,0;3,76;0,5;0,16;0,25;1,87;2,01;1,76;0,53;0,63;0,37;12,0;0,58;3,0;1,0;0,79
Denmark Division 3;Denmark;163,0;163,0;2,96;0,58;0,14;0,44;1,24;1,7;1,26;0,57;0,55;0,45;8,0;0,62;2,0;0,0;0,31
Spain Tercera Group 4;Spain;163,0;163,0;2,47;0,67;0,12;0,4;0,81;1,44;1,04;0,58;0,37;0,63;15,0;0,4;0,0;0,0;0,2
Spain Tercera Group 10;Spain;163,0;162,0;2,51;0,65;0,14;0,39;0,88;1,45;1,06;0,58;0,47;0,53;18,0;0,5;1,0;0,0;0,25
UAE Reserve League;UAE;163,0;163,0;3,18;0,55;0,17;0,31;1,43;1,75;1,44;0,55;0,63;0,37;16,0;0,56;3,0;0,67;0,61
UEFA Europa League Qualifying;International (Europe);162,0;162,0;2,55;0,69;0,12;0,31;0,8;1,43;1,12;0,56;0,44;0,56;53,0;0,38;14,0;0,29;0,33
Israel Liga Alef North;Israel;162,0;162,0;2,78;0,64;0,14;0,09;1,0;1,43;1,35;0,52;0,53;0,47;15,0;0,67;6,0;0,67;0,67
Argentina Cup;Argentina;161,0;161,0;2,35;0,63;0,12;0,63;0,86;1,49;0,86;0,63;0,39;0,61;77,0;0,44;12,0;0,33;0,39
Spain Tercera Group 2;Spain;161,0;161,0;2,49;0,66;0,14;0,45;0,85;1,47;1,02;0,59;0,43;0,57;42,0;0,33;18,0;0,39;0,36
Spain Tercera Group 18;Spain;161,0;161,0;2,14;0,7;0,11;0,45;0,65;1,29;0,84;0,6;0,4;0,6;41,0;0,37;5,0;0,4;0,38
Morocco GNF 1;Morocco;160,0;160,0;2,33;0,61;0,12;0,0;0,91;1,16;1,16;0,5;0,48;0,52;31,0;0,48;17,0;0,53;0,51
Thailand Division 3 Cup;Thailand;160,0;160,0;2,76;0,76;0,13;0,14;0,66;1,45;1,31;0,52;0,49;0,51;24,0;0,58;7,0;0,43;0,51
Sweden 2.div Västra Götaland;Sweden;159,0;159,0;3,74;0,56;0,17;0,26;1,66;2,0;1,74;0,54;0,62;0,38;16,0;0,56;5,0;0,6;0,58
Iceland Premier League;Iceland;159,0;159,0;3,43;0,55;0,16;0,46;1,54;1,94;1,48;0,57;0,65;0,35;12,0;0,67;0,0;0,0;0,33
Georgia Liga 3;Georgia;159,0;159,0;3,08;0,61;0,16;0,28;1,21;1,68;1,4;0,54;0,53;0,47;22,0;0,5;5,0;0,4;0,45
Norway Division 2 Group 1;Norway;159,0;159,0;3,33;0,56;0,14;0,55;1,46;1,94;1,39;0,58;0,62;0,38;25,0;0,4;4,0;0,5;0,45
India Santosh Trophy;India;159,0;159,0;3,11;0,68;0,14;0,22;0,98;1,67;1,45;0,54;0,48;0,52;31,0;0,48;25,0;0,36;0,42
Zambia Super League;Zambia;159,0;157,0;1,8;0,71;0,09;0,4;0,52;1,1;0,7;0,61;0,36;0,64;24,0;0,29;4,0;0,5;0,4
Australia New South Wales U20 League;Australia;159,0;159,0;3,65;0,53;0,17;0,0;1,71;1,82;1,82;0,5;0,66;0,34;11,0;0,73;5,0;0,8;0,76
Slovenia U19 League;Slovenia;157,0;157,0;3,68;0,47;0,15;0,2;1,94;1,94;1,74;0,53;0,59;0,41;29,0;0,55;10,0;0,3;0,43
North Macedonia First League;North Macedonia;157,0;156,0;2,95;0,66;0,14;0,34;0,99;1,64;1,31;0,56;0,46;0,54;51,0;0,47;13,0;0,38;0,43
Latvia 1. Liga;Latvia;156,0;156,0;3,38;0,56;0,12;0,36;1,48;1,87;1,51;0,55;0,6;0,4;29,0;0,45;17,0;0,59;0,52
Albania Championship;Albania;156,0;155,0;2,11;0,72;0,11;0,2;0,59;1,15;0,96;0,55;0,44;0,56;14,0;0,57;3,0;0,67;0,62
Hungary Cup;Hungary;156,0;156,0;3,31;0,6;0,17;0,62;1,33;1,35;1,97;0,41;0,53;0,47;16,0;0,44;50,0;0,5;0,47
Colombia Cup;Colombia;156,0;156,0;2,42;0,69;0,13;0,59;0,76;1,51;0,92;0,62;0,47;0,53;56,0;0,48;13,0;0,62;0,55
Malawi Super League;Malawi;156,0;156,0;2,02;0,72;0,12;0,38;0,56;1,2;0,82;0,59;0,37;0,63;32,0;0,25;16,0;0,5;0,38
UEFA Conference League;International (Europe);155,0;155,0;2,48;0,57;0,11;0,5;1,07;1,49;0,99;0,6;0,46;0,54;47,0;0,38;13,0;0,46;0,42
Austria Regionalliga Mitte;Austria;155,0;155,0;3,52;0,54;0,16;0,31;1,62;1,92;1,61;0,54;0,61;0,39;22,0;0,32;10,0;0,6;0,46
Australia NPL Queensland;Australia;155,0;155,0;3,57;0,56;0,16;0,01;1,58;1,78;1,79;0,5;0,6;0,4;21,0;0,48;7,0;0,57;0,52
Australia Victoria Premier League 2;Australia;155,0;155,0;3,29;0,56;0,14;0,15;1,45;1,57;1,72;0,48;0,67;0,33;5,0;0,8;0,0;0,0;0,4
Australia Queensland Premier League;Australia;154,0;154,0;3,49;0,56;0,16;0,12;1,55;1,81;1,68;0,52;0,63;0,37;10,0;0,5;7,0;0,57;0,54
Estonia Esiliiga;Estonia;154,0;154,0;3,87;0,55;0,13;0,17;1,74;2,02;1,85;0,52;0,58;0,42;26,0;0,5;21,0;0,48;0,49
Croatia 3.NL;Croatia;153,0;153,0;2,98;0,59;0,13;0,68;1,22;1,83;1,15;0,61;0,53;0,47;20,0;0,6;1,0;1,0;0,8
Türkiye 2 Lig Kirmizi;Turkey;153,0;152,0;2,67;0,62;0,15;0,37;1,0;1,52;1,15;0,57;0,44;0,56;37,0;0,43;14,0;0,64;0,54
Germany Bundesliga Women;Germany;152,0;152,0;3,43;0,53;0,15;0,13;1,62;1,78;1,65;0,52;0,6;0,4;44,0;0,66;30,0;0,53;0,6
Croatia U19 League;Croatia;152,0;152,0;3,36;0,6;0,16;0,59;1,33;1,97;1,39;0,59;0,52;0,48;32,0;0,59;12,0;0,42;0,51
Algeria U20 League;Algeria;151,0;151,0;3,29;0,66;0,14;0,71;1,13;2,0;1,29;0,61;0,51;0,49;34,0;0,56;16,0;0,69;0,62
Georgia First League;Georgia;151,0;151,0;2,52;0,62;0,13;0,34;0,96;1,43;1,09;0,57;0,54;0,46;8,0;0,62;1,0;1,0;0,81
Colombia Liga Femenina;Colombia;151,0;151,0;2,44;0,66;0,13;0,26;0,82;1,35;1,09;0,55;0,47;0,53;39,0;0,36;17,0;0,59;0,47
Premier League International Cup;England;151,0;151,0;3,28;0,51;0,15;0,2;1,63;1,54;1,74;0,47;0,63;0,37;9,0;0,44;1,0;1,0;0,72
Elite Club Friendlies;International (World);151,0;151,0;2,74;0,61;0,15;0,03;1,06;1,36;1,38;0,5;0,49;0,51;19,0;0,47;19,0;0,58;0,53
CONCACAF Champions Cup;International (North & Central America);150,0;150,0;2,89;0,58;0,13;0,61;1,21;1,75;1,14;0,61;0,49;0,51;56,0;0,45;18,0;0,33;0,39
Italy Campionato Primavera 3;Italy;150,0;150,0;3,27;0,57;0,13;0,37;1,41;1,82;1,45;0,56;0,57;0,43;11,0;0,64;2,0;1,0;0,82
Australia NPL Victoria Women;Australia;150,0;150,0;3,5;0,61;0,16;0,17;1,37;1,83;1,67;0,52;0,61;0,39;15,0;0,67;14,0;0,64;0,65
Scotland FA Cup;Scotland;150,0;150,0;2,93;0,53;0,14;0,45;1,38;1,69;1,24;0,58;0,49;0,51;52,0;0,46;29,0;0,55;0,51
Africa Cup of Nations Qualification;International (Africa);149,0;149,0;2,2;0,71;0,12;0,4;0,63;1,3;0,9;0,59;0,37;0,63;52,0;0,44;23,0;0,39;0,42
England National League Premier Women;England;149,0;149,0;3,23;0,57;0,14;0,02;1,4;1,62;1,6;0,5;0,48;0,52;27,0;0,44;30,0;0,47;0,46
Finland Ykkosliiga;Finland;148,0;148,0;3,01;0,57;0,13;0,32;1,28;1,66;1,34;0,55;0,64;0,36;28,0;0,64;6,0;1,0;0,82
UAE Premier League;UAE;148,0;148,0;2,84;0,59;0,13;0,06;1,18;1,39;1,45;0,49;0,55;0,45;25,0;0,44;17,0;0,65;0,54
Brazil Campeonato Paulista A2;Brazil;148,0;147,0;2,36;0,69;0,11;0,18;0,73;1,27;1,09;0,54;0,52;0,48;8,0;0,62;0,0;0,0;0,31
Venezuela Cup;Venezuela;148,0;148,0;2,69;0,69;0,12;0,66;0,84;1,68;1,01;0,62;0,46;0,54;29,0;0,48;5,0;0,6;0,54
Ethiopia Higher League;Ethiopia;148,0;143,0;1,8;0,81;0,15;0,41;0,35;0,7;1,11;0,39;0,32;0,68;10,0;0,5;3,0;0,0;0,25
Malaysia MFL Cup;Malaysia;148,0;148,0;2,92;0,65;0,15;0,27;1,01;1,59;1,32;0,55;0,52;0,48;30,0;0,53;12,0;0,5;0,52
Womens Euro Championships Qual;International (Europe);148,0;148,0;2,95;0,56;0,14;0,09;1,3;1,52;1,43;0,52;0,43;0,57;54,0;0,43;39,0;0,36;0,39
USA USL League One Cup;USA;148,0;148,0;2,7;0,63;0,13;0,27;1,0;1,49;1,22;0,55;0,55;0,45;23,0;0,65;2,0;1,0;0,83
Montenegro Druga Liga;Montenegro;148,0;148,0;2,41;0,68;0,14;0,25;0,77;1,33;1,08;0,55;0,37;0,63;25,0;0,52;7,0;0,29;0,4
Australia Western Australia Premier League;Australia;147,0;147,0;3,41;0,58;0,18;0,01;1,43;1,71;1,7;0,5;0,62;0,38;8,0;0,38;2,0;1,0;0,69
Gambia Division 2;Gambia;147,0;147,0;2,03;0,68;0,11;0,07;0,65;1,05;0,98;0,52;0,46;0,54;7,0;0,86;0,0;0,0;0,43
Cyprus Division 2;Cyprus;146,0;146,0;2,62;0,61;0,12;0,03;1,02;1,32;1,29;0,51;0,5;0,5;30,0;0,53;9,0;0,44;0,49
Oman League;Oman;146,0;146,0;2,54;0,64;0,13;0,09;0,91;1,32;1,23;0,52;0,5;0,5;25,0;0,52;12,0;0,33;0,43
Tanzania Premier League;Tanzania;146,0;146,0;1,9;0,75;0,13;0,36;0,48;1,13;0,77;0,59;0,31;0,69;40,0;0,28;21,0;0,29;0,28
Egypt League Cup;Egypt;146,0;146,0;2,18;0,68;0,13;0,06;0,7;1,12;1,06;0,51;0,42;0,58;18,0;0,33;10,0;0,4;0,37
Czechia Cup;Czech Republic;146,0;146,0;3,62;0,57;0,16;1,37;1,54;1,12;2,49;0,31;0,52;0,48;13,0;0,69;62,0;0,44;0,56
Australia Northern NSW Premier League;Australia;146,0;146,0;3,45;0,52;0,15;0,09;1,65;1,68;1,77;0,49;0,64;0,36;18,0;0,5;4,0;0,5;0,5
Senegal Premier League;Senegal;145,0;144,0;1,55;0,85;0,09;0,19;0,24;0,87;0,68;0,56;0,34;0,66;7,0;0,43;0,0;0,0;0,21
Norway Division 2 Group 2;Norway;145,0;145,0;3,78;0,53;0,18;0,55;1,76;2,17;1,61;0,57;0,68;0,32;22,0;0,68;4,0;0,75;0,72
Austria Regionalliga West;Austria;145,0;145,0;3,44;0,55;0,16;0,56;1,56;2,0;1,44;0,58;0,57;0,43;26,0;0,54;6,0;0,5;0,52
Brazil Serie A1 Women;Brazil;144,0;144,0;2,74;0,57;0,12;0,44;1,17;1,59;1,15;0,58;0,53;0,47;55,0;0,49;22,0;0,41;0,45
Indonesia U20 League;Indonesia;144,0;144,0;3,12;0,6;0,16;0,33;1,25;1,72;1,4;0,55;0,49;0,51;35,0;0,57;20,0;0,25;0,41
Australia South Australia Premier League;Australia;144,0;144,0;3,54;0,56;0,15;0,31;1,56;1,92;1,62;0,54;0,6;0,4;11,0;0,82;4,0;0,75;0,78
Australia NPL Victoria U23;Australia;144,0;144,0;3,69;0,54;0,16;0,2;1,69;1,94;1,74;0,53;0,62;0,38;16,0;0,75;6,0;1,0;0,88
Bahrain Premier League;Bahrain;144,0;144,0;2,42;0,63;0,13;0,08;0,89;1,25;1,17;0,52;0,43;0,57;22,0;0,41;17,0;0,47;0,44
Sweden 2.div Norra Götaland;Sweden;143,0;143,0;3,2;0,59;0,16;0,27;1,31;1,73;1,46;0,54;0,63;0,37;21,0;0,38;3,0;1,0;0,69
Cambodia Premier League;Cambodia;143,0;143,0;3,07;0,62;0,1;0,22;1,15;1,43;1,64;0,46;0,55;0,45;32,0;0,62;27,0;0,63;0,63
Spain Tercera Group 15;Spain;143,0;143,0;2,5;0,6;0,12;0,38;0,99;1,44;1,06;0,58;0,58;0,42;17,0;0,76;2,0;0,5;0,63
Poland Cup;Poland;142,0;142,0;2,7;0,63;0,12;0,3;1,0;1,2;1,5;0,45;0,54;0,46;10,0;0,7;41,0;0,51;0,61
Peru Liga 2;Peru;142,0;142,0;2,39;0,72;0,12;0,47;0,68;1,43;0,96;0,6;0,48;0,52;23,0;0,61;1,0;0,0;0,3
Malaysia Super League;Malaysia;142,0;142,0;3,32;0,58;0,16;0,33;1,38;1,82;1,49;0,55;0,47;0,53;43,0;0,44;23,0;0,17;0,31
Australia Queensland PL U23;Australia;142,0;142,0;3,88;0,53;0,16;0,36;1,82;2,12;1,76;0,55;0,62;0,38;17,0;0,41;12,0;0,75;0,58
Slovakia Youth League;Slovakia;141,0;141,0;3,47;0,58;0,15;0,67;1,47;2,07;1,4;0,6;0,55;0,45;19,0;0,63;6,0;0,83;0,73
Spain Tercera Group 8;Spain;141,0;141,0;2,4;0,61;0,12;0,3;0,95;1,35;1,05;0,56;0,51;0,49;27,0;0,33;2,0;0,5;0,42
Hong Kong 2nd Division;Hong Kong;141,0;141,0;3,5;0,61;0,15;0,03;1,35;1,74;1,77;0,5;0,59;0,41;22,0;0,59;17,0;0,53;0,56
Argentina Championship Women;Argentina;141,0;141,0;2,16;0,75;0,12;0,29;0,55;1,23;0,94;0,57;0,38;0,62;31,0;0,55;10,0;0,4;0,47
Norway Division 3 Group 6;Norway;141,0;141,0;3,84;0,49;0,16;0,55;1,96;2,2;1,65;0,57;0,69;0,31;13,0;0,46;2,0;0,5;0,48
Iceland 1 Deild;Iceland;141,0;141,0;3,55;0,53;0,18;0,1;1,66;1,82;1,72;0,51;0,7;0,3;22,0;0,55;2,0;1,0;0,77
Iceland League Cup;Iceland;140,0;140,0;4,03;0,49;0,21;0,51;2,04;2,27;1,76;0,56;0,66;0,34;51,0;0,63;11,0;0,73;0,68
UEFA Youth League;International (Europe);139,0;139,0;4,01;0,54;0,17;0,47;1,86;2,24;1,77;0,56;0,58;0,42;32,0;0,47;15,0;0,4;0,43
Japan J-League Cup;Japan;139,0;139,0;2,59;0,64;0,14;0,2;0,92;1,19;1,4;0,46;0,56;0,44;5,0;0,4;18,0;0,56;0,48
Algeria Cup;Algeria;138,0;138,0;2,12;0,69;0,11;0,47;0,67;1,3;0,83;0,61;0,36;0,64;59,0;0,37;18,0;0,28;0,33
Morocco GNF 2;Morocco;138,0;138,0;2,14;0,64;0,11;0,32;0,78;1,23;0,91;0,57;0,46;0,54;8,0;0,75;0,0;0,0;0,38
Ethiopia Premier League Women;Ethiopia;138,0;137,0;2,49;0,62;0,12;0,2;0,93;1,35;1,14;0,54;0,36;0,64;43,0;0,26;27,0;0,37;0,31
Belgium Reserve League;Belgium;138,0;137,0;3,93;0,52;0,19;0,59;1,89;2,26;1,67;0,57;0,67;0,33;19,0;0,68;6,0;0,67;0,68
Spain Tercera Group 9;Spain;136,0;136,0;2,47;0,57;0,13;0,51;1,05;1,49;0,98;0,6;0,51;0,49;19,0;0,58;0,0;0,0;0,29
Scotland Premier League Women;Scotland;136,0;136,0;3,6;0,59;0,19;0,01;1,49;1,79;1,8;0,5;0,46;0,54;34,0;0,18;36,0;0,42;0,3
England FA WSL 2;England;136,0;136,0;3,04;0,55;0,15;0,21;1,38;1,62;1,42;0,53;0,61;0,39;26,0;0,62;14,0;0,79;0,7
South Africa National Div 2;South Africa;136,0;136,0;2,32;0,64;0,12;0,19;0,83;1,26;1,07;0,54;0,43;0,57;15,0;0,53;6,0;0,5;0,52
Sweden 2.div Södra Götaland;Sweden;136,0;136,0;3,33;0,55;0,16;0,26;1,5;1,79;1,54;0,54;0,6;0,4;7,0;0,43;0,0;0,0;0,21
Malta Challenge League;Malta;135,0;135,0;3,39;0,55;0,19;0,04;1,54;1,67;1,72;0,49;0,61;0,39;15,0;0,67;19,0;0,47;0,57
Leagues Cup;International (North & Central America);135,0;135,0;3,01;0,52;0,14;0,62;1,43;1,81;1,19;0,6;0,64;0,36;30,0;0,6;0,0;0,0;0,3
Chile Primera Division Women;Chile;135,0;135,0;3,04;0,6;0,13;0,54;1,22;1,79;1,25;0,59;0,41;0,59;45,0;0,31;34,0;0,44;0,38
Australia South Australia State League 1;Australia;135,0;135,0;3,32;0,52;0,17;0,58;1,58;1,95;1,37;0,59;0,56;0,44;13,0;0,54;5,0;0,8;0,67
Australia Queensland Premier League 2;Australia;135,0;135,0;4,12;0,5;0,17;0,3;2,08;2,21;1,91;0,54;0,72;0,28;13,0;0,69;5,0;0,8;0,75
Lebanon League;Lebanon;134,0;133,0;2,59;0,65;0,16;0,04;0,9;1,28;1,31;0,49;0,43;0,57;35,0;0,43;25,0;0,56;0,49
Japan Women Empowerment League;Japan;134,0;134,0;2,72;0,61;0,12;0,28;1,05;1,5;1,22;0,55;0,46;0,54;26,0;0,42;22,0;0,55;0,48
Estonia Esiliiga B;Estonia;134,0;134,0;4,11;0,51;0,16;0,34;2,02;2,22;1,89;0,54;0,61;0,39;28,0;0,61;9,0;0,44;0,53
Spain Tercera Group 3;Spain;133,0;133,0;2,65;0,61;0,14;0,37;1,03;1,51;1,14;0,57;0,42;0,58;37,0;0,35;9,0;0,44;0,4
England National League Cup;England;133,0;133,0;3,44;0,48;0,14;0,28;1,79;1,86;1,58;0,54;0,63;0,37;1,0;1,0;0,0;0,0;0,5
Türkiye 3.Lig Group 4;Turkey;133,0;132,0;2,68;0,6;0,15;0,05;1,07;1,36;1,32;0,51;0,45;0,55;26,0;0,46;11,0;0,45;0,46
Bolivia Copa Division Profesional;Bolivia;133,0;132,0;3,44;0,55;0,13;0,71;1,54;2,08;1,36;0,6;0,62;0,38;41,0;0,76;3,0;0,67;0,71
Chile Segunda;Chile;133,0;133,0;2,92;0,65;0,13;0,28;1,02;1,6;1,32;0,55;0,53;0,47;11,0;0,55;4,0;0,5;0,52
England Super League Women;England;132,0;132,0;3,11;0,66;0,16;0,27;1,06;1,69;1,42;0,54;0,57;0,43;37,0;0,59;25,0;0,56;0,58
France Division 1 Women;France;132,0;132,0;2,95;0,59;0,15;0,05;1,21;1,5;1,45;0,51;0,46;0,54;33,0;0,33;23,0;0,39;0,36
India Calcutta Football League;India;132,0;132,0;2,73;0,67;0,14;0,15;0,89;1,29;1,44;0,47;0,42;0,58;20,0;0,5;16,0;0,5;0,5
Qatar Stars League;Qatar;131,0;131,0;3,35;0,56;0,15;0,01;1,47;1,67;1,68;0,5;0,63;0,37;16,0;0,69;12,0;0,83;0,76
USA USL Super League Women;USA;131,0;131,0;2,65;0,58;0,13;0,02;1,1;1,31;1,34;0,5;0,54;0,46;8,0;0,38;5,0;0,6;0,49
Spain Tercera Group 16;Spain;131,0;131,0;3,09;0,58;0,14;0,44;1,31;1,76;1,33;0,57;0,53;0,47;30,0;0,57;14,0;0,57;0,57
England Southern Premier League South;England;131,0;131,0;3,24;0,55;0,16;0,53;1,45;1,89;1,35;0,58;0,63;0,37;7,0;0,43;1,0;0,0;0,21
Zanzibar Premier League;Tanzania;131,0;131,0;2,21;0,72;0,13;0,37;0,62;1,29;0,92;0,58;0,43;0,57;19,0;0,53;2,0;0,5;0,51
Greece Cup;Greece;131,0;130,0;2,42;0,68;0,13;0,51;0,77;1,47;0,95;0,61;0,45;0,55;40,0;0,45;26,0;0,54;0,49
Germany DFB Pokal;Germany;130,0;130,0;3,12;0,58;0,13;0,84;1,3;1,14;1,98;0,37;0,46;0,54;15,0;0,53;58,0;0,47;0,5
Qatar Stars Cup;Qatar;130,0;130,0;3,33;0,54;0,19;0,52;1,54;1,92;1,41;0,58;0,62;0,38;11,0;0,55;5,0;0,8;0,67
Spain Tercera Group 14;Spain;130,0;129,0;2,48;0,66;0,12;0,32;0,85;1,4;1,08;0,57;0,49;0,51;32,0;0,53;2,0;1,0;0,77
Norway Toppserien Women;Norway;130,0;130,0;3,26;0,59;0,14;0,22;1,33;1,74;1,52;0,53;0,48;0,52;35,0;0,4;28,0;0,39;0,4
Austria Cup;Austria;130,0;130,0;3,55;0,55;0,16;1,22;1,6;1,17;2,38;0,33;0,5;0,5;16,0;0,88;69,0;0,41;0,64
Faroe Islands Premier League;Faroe Islands;129,0;129,0;3,37;0,56;0,15;0,05;1,48;1,66;1,71;0,49;0,6;0,4;35,0;0,51;33,0;0,7;0,61
Portugal Campeonato Nacional II Women;Portugal;129,0;129,0;3,33;0,63;0,16;0,41;1,24;1,87;1,46;0,56;0,45;0,55;30,0;0,43;23,0;0,39;0,41
Israel League Cup;Israel;129,0;128,0;2,77;0,57;0,14;0,02;1,18;1,4;1,37;0,5;0,58;0,42;8,0;0,88;2,0;0,5;0,69
Brazil Campeonato Paulista A3;Brazil;129,0;129,0;2,18;0,6;0,1;0,26;0,87;1,22;0,96;0,56;0,41;0,59;22,0;0,36;0,0;0,0;0,18
Italy Serie C Cup;Italy;128,0;128,0;2,36;0,61;0,12;0,25;0,92;1,3;1,05;0,55;0,5;0,5;13,0;0,46;1,0;0,0;0,23
Greece Super League U19;Greece;128,0;128,0;2,62;0,65;0,14;0,21;0,92;1,41;1,2;0,54;0,45;0,55;33,0;0,3;18,0;0,56;0,43
Czech Cup;Czech Republic;128,0;128,0;3,39;0,54;0,17;0,77;1,56;1,31;2,08;0,39;0,55;0,45;4,0;0,5;54,0;0,57;0,54
India Bangalore Super Division;India;127,0;127,0;2,83;0,62;0,37;0,02;1,09;1,43;1,4;0,5;0,42;0,58;27,0;0,41;26,0;0,46;0,43
England FA Cup Women;England;127,0;126,0;3,61;0,57;0,17;0,53;1,54;2,07;1,54;0,57;0,47;0,53;54,0;0,48;26,0;0,42;0,45
Republic of Ireland National League Women;Ireland;127,0;127,0;3,31;0,57;0,16;0,07;1,41;1,62;1,69;0,49;0,54;0,46;28,0;0,46;28,0;0,46;0,46
New Zealand Northern League;New Zealand;127,0;127,0;3,37;0,59;0,15;0,03;1,38;1,7;1,67;0,5;0,6;0,4;10,0;0,7;11,0;0,64;0,67
Japan FA Cup;Japan;126,0;125,0;2,9;0,61;0,14;0,45;1,13;1,67;1,22;0,58;0,55;0,45;42,0;0,55;11,0;0,73;0,64
UAE Cup;UAE;126,0;126,0;2,76;0,68;0,13;0,25;0,87;1,51;1,25;0,55;0,48;0,52;24,0;0,58;9,0;0,22;0,4
Colombia U20 League;Colombia;126,0;126,0;2,86;0,69;0,14;0,19;0,88;1,52;1,33;0,53;0,52;0,48;18,0;0,56;9,0;0,44;0,5
Australia South Australia State League Reserves;Australia;126,0;126,0;4,07;0,53;0,18;0,18;1,92;2,13;1,94;0,52;0,6;0,4;20,0;0,7;11,0;0,64;0,67
Malaysia Liga A1 Semi Pro;Malaysia;126,0;126,0;2,92;0,64;0,14;0,11;1,04;1,52;1,4;0,52;0,41;0,59;29,0;0,41;22,0;0,18;0,3
Vietnam V-League 2;Vietnam;125,0;125,0;2,38;0,7;0,14;0,64;0,72;1,51;0,87;0,63;0,45;0,55;30,0;0,5;11,0;0,55;0,52
Malaysia President Cup;Malaysia;125,0;125,0;2,63;0,67;0,13;0,47;0,88;1,55;1,08;0,59;0,44;0,56;33,0;0,52;20,0;0,4;0,46
Norway Interkretsserie U19;Norway;125,0;125,0;4,86;0,47;0,19;0,41;2,57;2,63;2,22;0,54;0,74;0,26;14,0;0,71;4,0;1,0;0,86
Australia NPL Queensland U23;Australia;125,0;125,0;3,89;0,54;0,16;0,05;1,8;1,97;1,92;0,51;0,62;0,38;7,0;0,57;6,0;0,5;0,54
Thailand Cup;Thailand;124,0;123,0;3,32;0,8;0,17;0,29;0,67;1,81;1,52;0,54;0,47;0,53;36,0;0,42;25,0;0,6;0,51
Italy Serie A Women;Italy;124,0;124,0;2,62;0,73;0,12;0,2;0,71;1,41;1,21;0,54;0,47;0,53;32,0;0,59;16,0;0,5;0,55
Finland U20 League;Finland;124,0;124,0;4,55;0,5;0,19;0,98;2,26;2,77;1,78;0,61;0,72;0,28;28,0;0,75;11,0;0,82;0,78
Slovenia 3. SNL;Slovenia;124,0;124,0;2,77;0,62;0,13;0,29;1,04;1,53;1,24;0,55;0,55;0,45;18,0;0,61;4,0;0,75;0,68
Iceland Cup Women;Iceland;124,0;124,0;4,35;0,5;0,2;0,33;2,16;2,34;2,01;0,54;0,65;0,35;24,0;0,58;18,0;0,67;0,62
Azerbaijan Division 1;Azerbaijan;124,0;124,0;2,81;0,67;0,14;0,31;0,92;1,56;1,25;0,55;0,49;0,51;27,0;0,56;18,0;0,28;0,42
Australia Western Australia State League 1;Australia;124,0;124,0;3,37;0,59;0,15;0,19;1,38;1,78;1,59;0,53;0,69;0,31;7,0;0,86;4,0;0,75;0,8
Spain Tercera Group 11;Spain;123,0;123,0;2,93;0,64;0,16;0,71;1,06;1,82;1,11;0,62;0,46;0,54;29,0;0,41;6,0;0,67;0,54
Mali Premiere Division;Mali;123,0;119,0;1,73;0,66;0,1;0,02;0,59;0,85;0,88;0,49;0,3;0,7;18,0;0,33;9,0;0,11;0,22
Australia Cup Qualifying;Australia;123,0;123,0;3,64;0,53;0,15;0,15;1,72;1,89;1,75;0,52;0,61;0,39;28,0;0,64;20,0;0,55;0,6
Norway Division 3 Group 2;Norway;122,0;122,0;4,07;0,51;0,19;0,6;1,98;2,34;1,74;0,57;0,7;0,3;27,0;0,59;8,0;1,0;0,8
Slovenia Cup;Slovenia;122,0;122,0;3,69;0,72;0,17;0,66;1,03;1,52;2,17;0,41;0,48;0,52;20,0;0,45;42,0;0,52;0,49
Japan L1 League Women;Japan;121,0;121,0;2,88;0,66;0,12;0,32;0,99;1,6;1,28;0,56;0,57;0,43;11,0;0,64;5,0;0,6;0,62
Brazil Campeonato Paulista A4;Brazil;120,0;120,0;1,91;0,73;0,09;0,22;0,52;1,07;0,84;0,56;0,35;0,65;8,0;0,5;0,0;0,0;0,25
Uruguay Clausura;Uruguay;120,0;120,0;2,29;0,7;0,14;0,21;0,68;1,25;1,04;0,55;0,4;0,6;19,0;0,58;10,0;0,4;0,49
