League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Türkiye U19 League;Turkey;360,0;359,0;3,1;0,61;0,16;0,2;1,21;1,65;1,45;0,53;0,58;0,42;30,0;0,57;7,0;0,43;0,5
Brazil U20 Cup;Brazil;359,0;357,0;2,89;0,64;0,13;0,61;1,04;1,75;1,14;0,61;0,45;0,55;110,0;0,49;36,0;0,36;0,43
Italy Serie C Group B;Italy;357,0;357,0;2,25;0,64;0,11;0,09;0,8;1,17;1,08;0,52;0,48;0,52;42,0;0,52;6,0;0,67;0,6
Brazil Campeonato Paulista U20;Brazil;353,0;352,0;3,0;0,61;0,13;0,45;1,16;1,73;1,27;0,58;0,51;0,49;71,0;0,56;18,0;0,39;0,48
Iraq Stars League;Iraq;351,0;351,0;2,38;0,61;0,13;0,12;0,94;1,25;1,13;0,53;0,49;0,51;61,0;0,51;20,0;0,45;0,48
Copa do Brasil;Brazil;349,0;348,0;2,22;0,72;0,09;0,14;0,61;1,18;1,04;0,53;0,39;0,61;109,0;0,41;63,0;0,41;0,41
Japan Regional League;Japan;346,0;346,0;3,29;0,68;0,15;0,08;1,05;1,69;1,61;0,51;0,49;0,51;58,0;0,48;55,0;0,42;0,45
Peru Liga 1;Peru;342,0;340,0;2,54;0,63;0,11;0,6;0,93;1,57;0,97;0,62;0,51;0,49;126,0;0,54;8,0;0,38;0,46
China Division 2;China;340,0;340,0;2,31;0,69;0,15;0,26;0,73;1,29;1,03;0,56;0,45;0,55;64,0;0,41;17,0;0,41;0,41
France Cup;France;336,0;336,0;3,12;0,63;0,15;0,48;1,15;1,32;1,8;0,42;0,55;0,45;36,0;0,58;126,0;0,49;0,54
Mexico Liga MX;Mexico;333,0;331,0;2,86;0,6;0,11;0,51;1,14;1,69;1,18;0,59;0,58;0,42;84,0;0,61;12,0;0,58;0,6
Panama Liga Prom;Panama;331,0;330,0;3,33;0,58;0,16;0,13;1,38;1,73;1,6;0,52;0,57;0,43;37,0;0,73;26,0;0,58;0,65
Colombia Primera B;Colombia;328,0;326,0;2,29;0,62;0,12;0,31;0,88;1,3;0,99;0,57;0,47;0,53;78,0;0,47;2,0;0,0;0,24
Mexico Liga MX Femenil;Mexico;327,0;326,0;3,34;0,57;0,15;0,32;1,43;1,83;1,51;0,55;0,53;0,47;118,0;0,45;78,0;0,47;0,46
Ethiopia Premier League;Ethiopia;326,0;326,0;1,81;0,77;0,13;0,02;0,42;0,9;0,92;0,49;0,44;0,56;8,0;0,38;4,0;0,5;0,44
Türkiye Super Lig;Turkey;326,0;325,0;2,7;0,6;0,11;0,18;1,08;1,44;1,26;0,53;0,55;0,45;67,0;0,66;26,0;0,62;0,64
England FA Cup;England;321,0;321,0;3,09;0,62;0,14;0,36;1,19;1,72;1,36;0,56;0,56;0,44;86,0;0,64;42,0;0,64;0,64
Egypt Division 1;Egypt;319,0;319,0;2,06;0,72;0,11;0,05;0,57;1,05;1,0;0,51;0,45;0,55;53,0;0,47;27,0;0,63;0,55
Ecuador LigaPro Serie A;Ecuador;319,0;319,0;2,42;0,64;0,11;0,25;0,86;1,34;1,08;0,55;0,49;0,51;76,0;0,62;3,0;0,33;0,48
Romania Liga I;Romania;314,0;314,0;2,53;0,6;0,1;0,31;1,01;1,42;1,11;0,56;0,51;0,49;54,0;0,65;17,0;0,47;0,56
Netherlands Eredivisie;Netherlands;314,0;313,0;3,14;0,54;0,12;0,42;1,46;1,78;1,36;0,57;0,61;0,39;83,0;0,67;18,0;0,67;0,67
Germany Bundesliga I;Germany;313,0;313,0;3,24;0,54;0,12;0,23;1,48;1,73;1,5;0,54;0,62;0,38;55,0;0,58;13,0;0,54;0,56
Australia FFA Cup Qualifying;Australia;311,0;306,0;4,12;0,5;0,17;0,31;2,05;2,22;1,9;0,54;0,59;0,41;76,0;0,62;58,0;0,5;0,56
Portugal Segunda Liga;Portugal;311,0;311,0;2,42;0,68;0,11;0,1;0,78;1,26;1,16;0,52;0,47;0,53;23,0;0,43;1,0;1,0;0,72
Poland I Liga;Poland;308,0;308,0;2,97;0,51;0,13;0,23;1,44;1,6;1,37;0,54;0,63;0,37;21,0;0,71;4,0;0,25;0,48
Germany Bundesliga II;Germany;306,0;306,0;2,93;0,57;0,12;0,32;1,26;1,63;1,31;0,55;0,6;0,4;17,0;0,41;1,0;1,0;0,71
England Premier League 2;England;306,0;306,0;3,56;0,53;0,16;0,24;1,67;1,9;1,66;0,53;0,63;0,37;30,0;0,53;8,0;0,88;0,7
Poland Ekstraklasa;Poland;306,0;305,0;2,73;0,59;0,12;0,42;1,12;1,57;1,16;0,58;0,59;0,41;28,0;0,57;2,0;1,0;0,79
