DATA,Time,BTTS,IN LIVE?,Odd J,Odd M,Juice,EV,Stake,Lucro Max,Profit,Jogo,Liga,Região,Match ID,%_ProbMod,OBS
26/04/2026,00:00,Sim,,"2,15","2,20","0,00%","2,33%","R$ 1,00","1,20","R$ 1,20",Athletico Paranaense vs Vitoria,,,,"46,51%",
26/04/2026,00:00,Sim,,"2,23","2,25","0,00%","0,90%","R$ 1,00","1,25","R$ 1,25",Ceara vs Vila Nova,,,,"44,84%",
26/04/2026,00:00,Sim,,"1,83","1,90","0,00%","3,83%","R$ 1,00","0,90","R$ 0,90",Ituano vs Maringa,,,,"54,64%",
26/04/2026,00:00,Sim,,"1,77","1,90","0,00%","7,34%","R$ 1,00","0,90","R$ 0,90",Racing Ferrol vs Real Aviles CF,,,,"56,50%",
26/04/2026,00:00,Sim,,"2,14","2,20","0,00%","2,80%","R$ 1,00","1,20","-R$ 1,00",Guarany de Bage vs Sao Luiz,,,,"46,73%",
26/04/2026,00:00,Sim,,"2,06","2,20","0,00%","6,80%","R$ 1,00","1,20","-R$ 1,00",Juazeirense vs ASA,,,,"48,54%",
26/04/2026,00:00,Sim,,"2,13","2,25","0,00%","5,63%","R$ 1,00","1,25","-R$ 1,00",Internacional de Bogota vs Boyaca Chico,,,,"46,95%",
27/04/2026,00:00,Sim,,"2,24","2,50","0,00%","11,61%","R$ 1,00","1,50","-R$ 1,00",El Zamalek vs Enppi,,,,"44,64%",
27/04/2026,00:00,Sim,,"2,11","2,20","0,00%","4,27%","R$ 1,00","1,20","-R$ 1,00",Smouha vs El Masry,,,,"47,39%",
27/04/2026,00:00,Sim,,"2,12","2,50","0,00%","17,92%","R$ 1,00","1,50","R$ 1,50",Bahla vs Oman FC,,,,"47,17%",
27/04/2026,00:00,Sim,,"2,34","2,37","0,00%","1,28%","R$ 1,00","1,37","R$ 1,37",Caxias vs Ypiranga RS,,,,"42,74%",
28/04/2026,00:00,Sim,,"2,28","2,62","0,00%","14,91%","R$ 1,00","1,62","R$ 1,62",MC Alger vs Olympique Akbou,,,,"43,86%",
28/04/2026,00:00,Sim,,"2,28","3,00","0,00%","31,58%","R$ 1,00","2,00","R$ 2,00",Al Moqawloon Al Arab vs Ghazl El Mahallah,,,,"43,86%",
28/04/2026,00:00,Sim,,"2,72","2,75","0,00%","1,10%","R$ 1,00","1,75","-R$ 1,00",Lanus vs LDU Quito,,,,"36,76%",
28/04/2026,00:00,Sim,,"2,08","2,10","0,00%","0,96%","R$ 1,00","1,10","-R$ 1,00",UCV vs Rosario Central,,,,"48,08%",
28/04/2026,00:00,Sim,,"2,08","2,25","0,00%","8,17%","R$ 1,00","1,25","-R$ 1,00",Deportes Tolima vs Coquimbo Unido,,,,"48,08%",
28/04/2026,00:00,Sim,,"2,05","2,25","0,00%","9,76%","R$ 1,00","1,25","R$ 1,25",San Lorenzo vs Santos,,,,"48,78%",
28/04/2026,00:00,Sim,,"2,15","2,25","0,00%","4,65%","R$ 1,00","1,25","R$ 1,25",Barracas Central vs Audax Italiano,,,,"46,51%",
29/04/2026,00:00,Sim,,"1,95","2,00","0,00%","2,56%","R$ 1,00","1,00","R$ 1,00",Avispa Fukuoka vs Sanfrecce Hiroshima,,,,"51,28%",
29/04/2026,00:00,Sim,,"1,84","1,95","0,00%","5,98%","R$ 1,00","0,95","R$ 0,95",Nagoya Grampus vs Fagiano Okayama,,,,"54,35%",
29/04/2026,00:00,Sim,,"1,95","2,20","0,00%","12,82%","R$ 1,00","1,20","R$ 1,20",Yokohama FC vs Vanraure Hachinohe,,,,"51,28%",
29/04/2026,00:00,Sim,,"2,22","2,37","0,00%","6,76%","R$ 1,00","1,37","R$ 1,37",JS Kabylie vs MC Oran,,,,"45,05%",
29/04/2026,00:00,Sim,,"2,60","2,75","0,00%","5,77%","R$ 1,00","1,75","-R$ 1,00",Modern Sport FC vs Talaea El Geish,,,,"38,46%",
29/04/2026,00:00,Sim,,"2,23","2,62","0,00%","17,49%","R$ 1,00","1,62","-R$ 1,00",FUS Rabat vs CODM Meknes,,,,"44,84%",
29/04/2026,00:00,Sim,,"2,06","2,50","0,00%","21,36%","R$ 1,00","1,50","-R$ 1,00",MAS Fes vs HUSA Agadir,,,,"48,54%",
29/04/2026,00:00,Sim,,"2,18","2,20","0,00%","0,92%","R$ 1,00","1,20","-R$ 1,00",Maccabi Bnei Raina vs Hapoel Jerusalem FC,,,,"45,87%",
29/04/2026,00:00,Sim,,"1,94","2,05","0,00%","5,67%","R$ 1,00","1,05","R$ 1,05",Universitario de Deportes vs Nacional De Football,,,,"51,55%",
29/04/2026,00:00,Sim,,"2,09","2,20","0,00%","5,26%","R$ 1,00","1,20","R$ 1,20",Caracas vs Racing Club,,,,"47,85%",
29/04/2026,00:00,Sim,,"2,38","2,62","0,00%","10,08%","R$ 1,00","1,62","R$ 1,62",Platense vs Independiente Santa Fe,,,,"42,02%",
29/04/2026,00:00,Sim,,"2,26","2,50","0,00%","10,62%","R$ 1,00","1,50","R$ 1,50",Botafogo PB vs Fluminense PI,,,,"44,25%",
29/04/2026,00:00,Sim,,"2,17","2,25","0,00%","3,69%","R$ 1,00","1,25","R$ 1,25",Juazeirense vs ASA,,,,"46,08%",
29/04/2026,00:00,Sim,,"2,17","2,25","0,00%","3,69%","R$ 1,00","1,25","R$ 1,25",Maranhao vs Ceara,,,,"46,08%",
29/04/2026,00:00,Sim,,"2,10","2,10","0,00%","0,00%","R$ 1,00","1,10","R$ 1,10",Chapecoense vs America MG,,,,"47,62%",
29/04/2026,00:00,Sim,,"2,17","2,20","0,00%","1,38%","R$ 1,00","1,20","R$ 1,20",Novorizontino vs Avai,,,,"46,08%",
30/04/2026,00:00,Sim,,"2,19","2,50","0,00%","14,16%","R$ 1,00","1,50","R$ 1,50",Difaa El Jadida vs Renaissance Zemamra,,,,"45,66%",
30/04/2026,00:00,Sim,,"1,95","1,96","0,00%","0,51%","R$ 1,00","0,96","R$ 0,96",Braga vs SC Freiburg,,,,"51,28%",
30/04/2026,00:00,Sim,,"1,80","1,95","0,00%","8,33%","R$ 1,00","0,95","-R$ 1,00",Bolivar vs Fluminense,,,,"55,56%",
30/04/2026,00:00,Sim,,"2,59","2,75","0,00%","6,18%","R$ 1,00","1,75","-R$ 1,00",Corinthians vs Penarol,,,,"38,61%",
30/04/2026,00:00,Sim,,"1,81","2,00","0,00%","10,50%","R$ 1,00","1,00","-R$ 1,00",Carabobo vs Blooming,,,,"55,25%",
30/04/2026,00:00,Sim,,"2,28","2,37","0,00%","3,95%","R$ 1,00","1,37","-R$ 1,00",Alianza Atletico vs Macara,,,,"43,86%",
01/05/2026,00:00,Sim,,"2,10","2,05","0,00%","-2,38%","R$ 1,00","1,05","R$ 1,05",Pisa vs Lecce,,,,"47,62%",
01/05/2026,00:00,Sim,,"2,00","2,00","0,00%","0,00%","R$ 1,00","1,00","-R$ 1,00",Libertad Asuncion vs Sportivo San Lorenzo,,,,"50,00%",
01/05/2026,00:00,Sim,,"2,07","2,10","0,00%","1,45%","R$ 1,00","1,10","-R$ 1,00",Cork City vs Cobh Ramblers,,,,"48,31%",
01/05/2026,00:00,Sim,S,"1,86","2,20","0,00%","18,28%","R$ 1,00","1,20","-R$ 1,00",FK Csikszereda Miercurea Ciuc vs FCSB,,,,"53,76%",
02/05/2026,00:00,Sim,,"1,74","1,90","0,00%","9,20%","R$ 1,00","0,90","R$ 0,90",Yokohama F-Marinos vs Mito Hollyhock,,,,"57,47%",
