League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Italy Serie D;Italy;975,0;972,0;2,39;0,64;0,28;0,85;1,33;1,05;0,56;0,48;0,52;138,0;0,57;28,0;0,54;0,55
Spain Youth League;Spain;841,0;839,0;3,14;0,61;0,54;1,22;1,84;1,3;0,59;0,54;0,46;190,0;0,5;59,0;0,54;0,52
Europe Friendlies;International (Europe);819,0;818,0;3,58;0,59;0,6;1,48;2,09;1,49;0,58;0,64;0,36;138,0;0,62;38,0;0,58;0,6
Brazil Sao Paulo Youth Cup;Brazil;721,0;721,0;2,85;0,63;0,07;1,06;1,46;1,39;0,51;0,45;0,55;157,0;0,41;120,0;0,48;0,44
Mexico Liga TDP;Mexico;603,0;597,0;3,28;0,65;0,38;1,15;1,83;1,45;0,56;0,5;0,5;140,0;0,54;56,0;0,5;0,52
Portugal Campeonato Nacional;Brazil;510,0;510,0;2,39;0,67;0,35;0,79;1,37;1,02;0,57;0,49;0,51;68,0;0,5;17,0;0,59;0,54
UEFA Conference League Qualifying;International (Europe);510,0;510,0;2,75;0,64;0,53;0,99;1,64;1,11;0,6;0,46;0,54;151,0;0,52;42,0;0,43;0,47
France National 3;France;418,0;418,0;2,62;0,64;0,25;0,94;1,44;1,19;0,55;0,55;0,45;17,0;0,53;2,0;0,5;0,51
UEFA Champions League;International (Europe);404,0;404,0;3,31;0,59;0,48;1,37;1,9;1,42;0,57;0,55;0,45;130,0;0,55;43,0;0,58;0,57
England Championship;England;396,0;396,0;2,65;0,56;0,24;1,17;1,44;1,2;0,55;0,57;0,43;54,0;0,5;9,0;0,67;0,58
Spain Regional League;Spain;392,0;390,0;2,59;0,69;0,39;0,81;1,49;1,1;0,57;0,48;0,52;25,0;0,44;15,0;0,4;0,42
England National League South;England;391,0;390,0;2,99;0,58;0,4;1,26;1,7;1,3;0,57;0,57;0,43;43,0;0,63;2,0;1,0;0,81
England National League North;England;391,0;391,0;3,08;0,56;0,29;1,35;1,69;1,4;0,55;0,61;0,39;43,0;0,67;4,0;0,75;0,71
England League 2;England;372,0;372,0;2,56;0,61;0,14;1,0;1,35;1,21;0,53;0,51;0,49;48,0;0,58;5,0;0,4;0,49
Copa Sudamericana;International (South America);367,0;366,0;2,32;0,66;0,38;0,78;1,35;0,97;0,58;0,43;0,57;144,0;0,51;16,0;0,69;0,6
England National League;England;364,0;363,0;2,97;0,57;0,25;1,28;1,61;1,36;0,54;0,57;0,43;67,0;0,63;22,0;0,64;0,63
Bolivia Copa Simon Bolivar;Bolivia;363,0;363,0;3,64;0,61;0,67;1,42;2,16;1,48;0,59;0,58;0,42;93,0;0,66;21,0;0,57;0,61
Brazil U20 Cup;Brazil;359,0;357,0;2,89;0,64;0,61;1,04;1,75;1,14;0,61;0,45;0,55;110,0;0,49;36,0;0,36;0,43
France Cup;France;336,0;336,0;3,12;0,63;0,48;1,15;1,32;1,8;0,42;0,55;0,45;36,0;0,58;126,0;0,49;0,54
Copa do Brasil;Brazil;330,0;329,0;2,24;0,72;0,16;0,63;1,2;1,04;0,54;0,4;0,6;106,0;0,41;62,0;0,42;0,41
Poland III Liga;Poland;326,0;326,0;3,13;0,6;0,41;1,26;1,77;1,36;0,57;0,57;0,43;41,0;0,61;10,0;0,6;0,6
England FA Cup;England;321,0;321,0;3,09;0,62;0,36;1,19;1,72;1,36;0,56;0,56;0,44;86,0;0,64;42,0;0,64;0,64
France National 2;France;313,0;312,0;2,54;0,61;0,32;0,98;1,43;1,11;0,56;0,55;0,45;23,0;0,65;1,0;0,0;0,33
Australia FFA Cup Qualifying;Australia;311,0;306,0;4,12;0,5;0,31;2,05;2,22;1,9;0,54;0,59;0,41;76,0;0,62;58,0;0,5;0,56
Guatemala Liga Nacional;Guatemala;302,0;301,0;2,42;0,66;0,92;0,82;1,67;0,75;0,69;0,47;0,53;99,0;0,51;1,0;1,0;0,75
European U21 Championship Qual;International (Europe);299,0;299,0;3,11;0,65;0,21;1,1;1,66;1,45;0,53;0,4;0,6;111,0;0,4;81,0;0,41;0,4
Thailand Division 3;Thailand;291,0;290,0;2,51;0,66;0,19;0,85;1,35;1,16;0,54;0,49;0,51;42,0;0,5;17,0;0,29;0,4
U19 Euro Championship Qual Women;International (Europe);290,0;289,0;3,47;0,65;0,54;1,22;2,0;1,47;0,58;0,33;0,67;115,0;0,26;68,0;0,31;0,28
Spain Copa del Rey;Spain;288,0;288,0;2,99;0,64;0,78;1,08;1,1;1,89;0,37;0,5;0,5;19,0;0,58;120,0;0,52;0,55
Copa Libertadores;International (South America);288,0;287,0;2,32;0,65;0,5;0,82;1,41;0,91;0,61;0,42;0,58;119,0;0,41;13,0;0,46;0,44
Uruguay Amateur Cup;Uruguay;286,0;286,0;2,78;0,68;0,58;0,9;1,68;1,1;0,6;0,52;0,48;36,0;0,58;6,0;0,5;0,54
France U19 League;France;285,0;285,0;3,26;0,58;0,61;1,38;1,94;1,32;0,59;0,57;0,43;39,0;0,51;7,0;0,43;0,47
Romania Liga III;Romania;285,0;285,0;3,25;0,63;0,38;1,2;1,81;1,44;0,56;0,56;0,44;61,0;0,62;20,0;0,7;0,66
Spain Segunda;Spain;284,0;284,0;2,68;0,62;0,32;1,03;1,5;1,18;0,56;0,56;0,44;31,0;0,55;0,0;0,0;0,27
Italy Campionato Primavera 2;Italy;283,0;282,0;3,11;0,55;0,25;1,39;1,68;1,43;0,54;0,59;0,41;25,0;0,48;6,0;0,67;0,57
Czechia 3. Liga;Czech Republic;280,0;279,0;2,86;0,6;0,35;1,14;1,61;1,26;0,56;0,5;0,5;48,0;0,44;14,0;0,57;0,5
Algeria Division 2;Algeria;278,0;275,0;2,09;0,69;0,47;0,65;1,28;0,81;0,61;0,38;0,62;115,0;0,42;11,0;0,09;0,25
England U21 Premier League Cup;England;274,0;274,0;3,61;0,53;0,43;1,69;2,02;1,59;0,56;0,64;0,36;30,0;0,7;9,0;0,89;0,79
Argentina Liga Profesional;Argentina;271,0;271,0;1,96;0,73;0,25;0,54;1,1;0,85;0,56;0,42;0,58;59,0;0,41;3,0;0,0;0,2
Brazil Paulista Cup;Brazil;271,0;271,0;2,0;0,71;0,27;0,58;1,13;0,86;0,57;0,4;0,6;29,0;0,48;1,0;0,0;0,24
Italy Serie C Group A;Italy;270,0;268,0;2,35;0,65;0,15;0,83;1,25;1,1;0,53;0,49;0,51;29,0;0,59;6,0;0,5;0,54
England EFL Trophy;England;269,0;269,0;3,4;0,54;0,44;1,55;1,92;1,48;0,56;0,62;0,38;57,0;0,75;6,0;0,67;0,71
Mexico Segunda Division;Mexico;266,0;264,0;2,8;0,69;0,48;0,88;1,64;1,16;0,59;0,52;0,48;47,0;0,6;11,0;0,45;0,53
Italy Serie C Group C;Italy;263,0;263,0;2,44;0,58;0,42;1,02;1,43;1,01;0,59;0,53;0,47;45,0;0,53;9,0;0,56;0,54
Greece Gamma Ethniki;Greece;263,0;263,0;2,38;0,74;0,57;0,62;1,48;0,9;0,62;0,43;0,57;96,0;0,48;14,0;0,36;0,42
Belgium First Amateur Division;Belgium;262,0;262,0;3,35;0,58;0,24;1,41;1,79;1,55;0,54;0,58;0,42;23,0;0,43;10,0;0,8;0,62
Portugal Cup;Portugal;260,0;259,0;2,83;0,62;0,34;1,09;1,59;1,25;0,56;0,47;0,53;61,0;0,41;71,0;0,55;0,48
Italy Serie B;Italy;260,0;259,0;2,52;0,59;0,42;1,05;1,47;1,05;0,58;0,51;0,49;43,0;0,53;8,0;0,38;0,45
European U19 Championship Qual;International (Europe);260,0;259,0;2,88;0,58;0,39;1,2;1,63;1,25;0,57;0,4;0,6;100,0;0,37;42,0;0,45;0,41
Japan J2/J3 Centennial League;Japan;253,0;253,0;2,56;0,63;0,17;0,95;1,36;1,19;0,53;0,48;0,52;17,0;0,41;7,0;0,86;0,63
Greece Amateur Cup;Greece;253,0;253,0;2,92;0,63;0,06;1,07;1,49;1,43;0,51;0,45;0,55;43,0;0,4;50,0;0,52;0,46
Türkiye 1 Lig;Turkey;252,0;252,0;2,9;0,62;0,44;1,1;1,67;1,23;0,58;0,47;0,53;55,0;0,44;36,0;0,64;0,54
Italy Serie A;Italy;250,0;250,0;2,48;0,61;0,12;0,96;1,3;1,18;0,52;0,45;0,55;63,0;0,44;33,0;0,52;0,48
Finland Cup;Finland;248,0;248,0;3,98;0,6;1,06;1,59;1,46;2,52;0,37;0,55;0,45;30,0;0,6;95,0;0,48;0,54
England Premier League;England;248,0;248,0;2,76;0,59;0,24;1,14;1,5;1,26;0,54;0,56;0,44;53,0;0,72;16,0;0,5;0,61
Netherlands Eerste Divisie;Netherlands;248,0;248,0;3,18;0,52;0,21;1,51;1,7;1,48;0,53;0,62;0,38;36,0;0,58;8,0;0,75;0,67
Italy Serie C Group B;Italy;247,0;247,0;2,25;0,64;0,14;0,81;1,19;1,05;0,53;0,51;0,49;28,0;0,54;4,0;0,75;0,64
Spain Primera Division RFEF Group 1;Spain;246,0;245,0;2,45;0,65;0,31;0,85;1,38;1,07;0,56;0,49;0,51;22,0;0,55;1,0;0,0;0,27
Ethiopia Premier League;Ethiopia;244,0;244,0;1,82;0,75;0,05;0,45;0,89;0,93;0,49;0,43;0,57;5,0;0,4;3,0;0,33;0,37
Türkiye U19 League;Turkey;238,0;238,0;3,06;0,61;0,19;1,18;1,63;1,44;0,53;0,57;0,43;20,0;0,55;5,0;0,4;0,48
nan;England;238,0;238,0;2,71;0,59;0,45;1,11;1,58;1,13;0,58;0,54;0,46;24,0;0,5;1,0;1,0;0,75
AFC Champions League Two;International (Asia);237,0;237,0;3,08;0,6;0,34;1,24;1,71;1,37;0,56;0,54;0,46;63,0;0,6;20,0;0,45;0,53
Czechia 4. Liga;Czech Republic;237,0;237,0;3,35;0,6;0,56;1,33;1,95;1,39;0,58;0,57;0,43;51,0;0,55;2,0;1,0;0,77
USA US Open Cup;USA;237,0;237,0;3,02;0,61;0,48;1,19;1,75;1,27;0,58;0,54;0,46;61,0;0,48;10,0;0,5;0,49
Poland IV Liga;Poland;236,0;236,0;3,52;0,54;0,27;1,6;1,89;1,62;0,54;0,61;0,39;53,0;0,64;16,0;0,56;0,6
Slovakia Cup;Slovakia;235,0;235,0;3,72;0,56;1,66;1,65;1,03;2,69;0,28;0,51;0,49;17,0;0,76;136,0;0,53;0,65
Türkiye Cup;Turkey;235,0;234,0;3,33;0,59;0,22;1,38;1,77;1,56;0,53;0,54;0,46;68,0;0,56;30,0;0,57;0,56
England FA Trophy;England;235,0;234,0;2,91;0,58;0,45;1,21;1,68;1,23;0,58;0,5;0,5;29,0;0,72;5,0;0,2;0,46
Spain Primera Division RFEF Group 2;Spain;234,0;234,0;2,22;0,71;0,36;0,65;1,29;0,93;0,58;0,41;0,59;31,0;0,39;1,0;1,0;0,69
Italy Serie D Cup;Italy;233,0;233,0;2,46;0,61;0,33;0,97;1,39;1,06;0,57;0,55;0,45;27,0;0,81;3,0;0,67;0,74
AFC Champions League Elite;International (Asia);233,0;233,0;2,82;0,65;0,55;0,99;1,69;1,13;0,6;0,5;0,5;64,0;0,45;11,0;0,82;0,64
Spain Tercera - Play-offs;Spain;233,0;233,0;1,95;0,72;0,12;0,56;1,04;0,91;0,53;0,45;0,55;13,0;0,54;0,0;0,0;0,27
CAF Champions League;International (Africa);233,0;233,0;2,08;0,76;0,82;0,49;1,45;0,63;0,7;0,3;0,7;110,0;0,29;12,0;0,33;0,31
Hungary NB III;Hungary;231,0;231,0;3,33;0,56;0,46;1,47;1,9;1,44;0,57;0,58;0,42;37,0;0,51;15,0;0,47;0,49
England FA Cup Qualification;England;230,0;230,0;3,12;0,56;0,49;1,36;1,8;1,32;0,58;0,55;0,45;45,0;0,47;6,0;0,5;0,48
Germany 3. Liga;Germany;229,0;229,0;3,14;0,55;0,31;1,42;1,72;1,41;0,55;0,63;0,37;16,0;0,75;4,0;0,75;0,75
Chile Cup;Chile;228,0;228,0;2,8;0,66;0,46;0,95;1,63;1,17;0,58;0,52;0,48;37,0;0,46;17,0;0,65;0,55
Spain La Liga;Spain;226,0;226,0;2,73;0,56;0,54;1,2;1,63;1,09;0,6;0,56;0,44;46,0;0,54;11,0;0,55;0,54
England Northern League Division One;England;223,0;223,0;3,09;0,63;0,13;1,15;1,61;1,48;0,52;0,58;0,42;20,0;0,65;7,0;0,43;0,54
Romania Cup;Romania;220,0;220,0;2,98;0,64;0,45;1,07;1,26;1,71;0,42;0,54;0,46;15,0;0,47;57,0;0,68;0,58
Colombia Primera A;Colombia;219,0;219,0;2,41;0,57;0,55;1,03;1,48;0,93;0,61;0,51;0,49;63,0;0,49;3,0;0,67;0,58
CAF Confederations Cup;International (Africa);218,0;218,0;2,26;0,68;0,93;0,73;1,59;0,67;0,71;0,36;0,64;92,0;0,3;6,0;0,33;0,32
Israel Cup;Israel;216,0;216,0;3,27;0,59;0,07;1,33;1,67;1,6;0,51;0,47;0,53;34,0;0,56;29,0;0,55;0,56
Norway Cup;Norway;214,0;214,0;3,56;0,54;1,04;1,62;1,26;2,3;0,35;0,58;0,42;9,0;0,78;92,0;0,5;0,64
Italy Eccellenza;Italy;214,0;210,0;2,5;0,74;0,38;0,65;1,44;1,06;0,58;0,44;0,56;39,0;0,36;14,0;0,64;0,5
Spain Segunda Division RFEF Group 5;Spain;213,0;213,0;2,66;0,57;0,31;1,15;1,48;1,18;0,56;0,52;0,48;22,0;0,59;0,0;0,0;0,3
Saudi Arabia Division 1;Saudi Arabia;211,0;209,0;2,89;0,54;0,22;1,32;1,55;1,33;0,54;0,63;0,37;26,0;0,62;14,0;0,64;0,63
Iraq Stars League;Iraq;210,0;210,0;2,3;0,59;0,11;0,96;1,21;1,1;0,52;0,5;0,5;42,0;0,55;10,0;0,5;0,52
Spain Segunda Division RFEF Group 1;Spain;208,0;208,0;2,46;0,71;0,25;0,72;1,36;1,1;0,55;0,5;0,5;26,0;0,65;2,0;0,5;0,58
Spain Segunda Division RFEF Group 2;Spain;208,0;208,0;2,56;0,63;0,45;0,95;1,5;1,06;0,59;0,52;0,48;34,0;0,47;4,0;0,5;0,49
Germany Bundesliga I;Germany;207,0;207,0;3,18;0,55;0,39;1,44;1,78;1,4;0,56;0,63;0,37;36,0;0,67;8,0;0,62;0,65
Israel Youth League;Israel;206,0;206,0;3,17;0,62;0,0;1,21;1,59;1,59;0,5;0,54;0,46;25,0;0,6;10,0;0,3;0,45
Brazil Serie A;Brazil;205,0;205,0;2,7;0,59;0,5;1,11;1,6;1,1;0,59;0,52;0,48;55,0;0,55;3,0;0,67;0,61
Europe - World Cup Qualifying;International (Europe);204,0;204,0;3,3;0,62;0,47;1,24;1,89;1,42;0,57;0,43;0,57;89,0;0,43;61,0;0,38;0,4
Argentina Copa de la Liga Profesional;Argentina;203,0;203,0;2,21;0,69;0,18;0,7;1,2;1,01;0,54;0,43;0,57;35,0;0,63;3,0;0,33;0,48
Africa - World Cup Qualifying;International (Africa);203,0;203,0;2,49;0,67;0,18;0,83;1,33;1,15;0,54;0,38;0,62;86,0;0,42;48,0;0,31;0,37
Kenya Premier League;Kenya;201,0;199,0;2,0;0,7;0,09;0,6;1,05;0,96;0,52;0,43;0,57;13,0;0,46;2,0;1,0;0,73
Austria Landesliga;Austria;201,0;201,0;3,35;0,54;0,25;1,53;1,8;1,55;0,54;0,59;0,41;29,0;0,62;5,0;0,6;0,61
Portugal Segunda Liga;Portugal;200,0;200,0;2,42;0,7;0,17;0,73;1,3;1,13;0,53;0,44;0,56;13,0;0,38;0,0;0,0;0,19
Austria Amateur Cup;Austria;200,0;200,0;4,45;0,57;0,78;1,92;1,84;2,62;0,41;0,62;0,38;24,0;0,79;70,0;0,6;0,7
Argentina Liga Profesional Reserves;Argentina;200,0;200,0;2,45;0,64;0,49;0,88;1,47;0,98;0,6;0,45;0,55;12,0;0,25;4,0;0,5;0,38
Netherlands Cup;Netherlands;199,0;199,0;3,42;0,58;0,1;1,44;1,76;1,66;0,51;0,64;0,36;46,0;0,67;45,0;0,69;0,68
Spain Segunda Division RFEF Group 3;Spain;199,0;198,0;2,42;0,69;0,4;0,76;1,41;1,01;0,58;0,52;0,48;20,0;0,45;1,0;0,0;0,22
Thailand Division 2;Thailand;199,0;199,0;2,66;0,65;0,45;0,94;1,56;1,11;0,58;0,52;0,48;13,0;0,46;0,0;0,0;0,23
Portugal Liga 3;Portugal;198,0;198,0;2,25;0,62;0,04;0,85;1,14;1,11;0,51;0,52;0,48;8,0;0,75;0,0;0,0;0,38
Spain Tercera Group 7;Spain;196,0;196,0;2,58;0,69;0,06;0,81;1,32;1,26;0,51;0,54;0,46;17,0;0,71;1,0;1,0;0,85
Saudi Arabia Pro League;Saudi Arabia;195,0;195,0;2,94;0,58;0,26;1,25;1,6;1,34;0,54;0,55;0,45;51,0;0,43;34,0;0,56;0,5
Portugal Primeira Liga;Portugal;194,0;193,0;2,71;0,59;0,35;1,1;1,53;1,18;0,56;0,49;0,51;42,0;0,4;35,0;0,51;0,46
England Premier League 2;England;193,0;193,0;3,51;0,54;0,35;1,6;1,93;1,58;0,55;0,6;0,4;19,0;0,42;5,0;0,8;0,61
Argentina Torneo Regional Amateur;Argentina;192,0;190,0;2,59;0,63;0,74;0,96;1,67;0,93;0,64;0,46;0,54;39,0;0,51;3,0;0,33;0,42
England EFL Cup;England;191,0;191,0;3,01;0,56;0,18;1,33;1,59;1,41;0,53;0,54;0,46;56,0;0,59;28,0;0,61;0,6
Rwanda National League;Rwanda;191,0;191,0;2,13;0,68;0,07;0,67;1,1;1,03;0,52;0,46;0,54;33,0;0,48;14,0;0,71;0,6
Israel Liga Bet South;Israel;189,0;189,0;3,02;0,66;0,07;1,03;1,54;1,47;0,51;0,44;0,56;33,0;0,45;20,0;0,3;0,38
Brazil Copa Nordeste;Brazil;189,0;189,0;2,41;0,63;0,58;0,88;1,5;0,92;0,62;0,51;0,49;58,0;0,57;8,0;0,75;0,66
Scotland League Cup;Scotland;189,0;189,0;3,32;0,6;0,47;1,34;1,89;1,42;0,57;0,41;0,59;68,0;0,4;44,0;0,5;0,45
Netherlands Eredivisie;Netherlands;188,0;187,0;3,0;0,57;0,51;1,29;1,76;1,24;0,59;0,61;0,39;48,0;0,69;10,0;0,6;0,64
Türkiye Super Lig;Turkey;188,0;187,0;2,64;0,62;0,32;1,0;1,48;1,16;0,56;0,54;0,46;40,0;0,62;16,0;0,69;0,66
Argentina Nacional B;Argentina;187,0;185,0;1,74;0,75;0,33;0,44;1,04;0,71;0,6;0,34;0,66;34,0;0,44;0,0;0,0;0,22
Germany Bundesliga II;Germany;187,0;187,0;2,95;0,57;0,37;1,26;1,66;1,29;0,56;0,61;0,39;11,0;0,36;0,0;0,0;0,18
Spain Tercera Federacion Women;Spain;184,0;184,0;3,42;0,6;0,1;1,36;1,76;1,66;0,51;0,49;0,51;41,0;0,46;27,0;0,59;0,53
Spain Segunda Division RFEF Group 4;Spain;184,0;183,0;2,25;0,66;0,54;0,77;1,4;0,85;0,62;0,46;0,54;22,0;0,59;1,0;1,0;0,8
France Ligue 1;France;184,0;184,0;2,68;0,68;0,28;0,87;1,48;1,2;0,55;0,48;0,52;46,0;0,52;10,0;0,4;0,46
England Northern Premier League;England;183,0;183,0;2,51;0,59;0,18;1,03;1,34;1,16;0,54;0,51;0,49;7,0;0,71;0,0;0,0;0,36
UEFA Champions League Qualifying;International (Europe);182,0;182,0;2,7;0,67;0,5;0,89;1,6;1,1;0,59;0,44;0,56;56,0;0,5;15,0;0,27;0,38
Belgium First Division B;Belgium;182,0;182,0;2,85;0,6;0,18;1,15;1,52;1,34;0,53;0,57;0,43;24,0;0,58;6,0;0,67;0,62
Mexico Liga MX;Mexico;181,0;181,0;2,71;0,58;0,48;1,14;1,6;1,12;0,59;0,59;0,41;44,0;0,61;9,0;0,67;0,64
Belgium First Division A;Belgium;180,0;179,0;2,69;0,64;0,02;0,96;1,36;1,33;0,5;0,55;0,45;26,0;0,73;6,0;0,67;0,7
Netherlands Tweede Divisie;Netherlands;179,0;179,0;3,3;0,51;0,24;1,62;1,77;1,53;0,54;0,64;0,36;8,0;0,5;0,0;0,0;0,25
Portugal U23 League;Portugal;179,0;179,0;2,84;0,55;0,21;1,28;1,53;1,32;0,54;0,61;0,39;4,0;0,5;0,0;0,0;0,25
Brazil Serie D;Brazil;179,0;179,0;2,21;0,7;0,39;0,66;1,3;0,91;0,59;0,42;0,58;33,0;0,39;4,0;0,5;0,45
International Match;International (World);178,0;177,0;2,74;0,71;0,5;0,78;1,62;1,12;0,59;0,47;0,53;58,0;0,45;10,0;0,6;0,52
Indonesia Super League;Indonesia;177,0;176,0;2,75;0,59;0,32;1,13;1,54;1,21;0,56;0,53;0,47;26,0;0,35;6,0;0,17;0,26
England National League Division 1 Women;England;177,0;177,0;3,18;0,64;0,06;1,14;1,62;1,56;0,51;0,46;0,54;51,0;0,51;26,0;0,38;0,45
Scotland League Challenge Cup;Scotland;176,0;176,0;3,58;0,52;0,77;1,73;2,18;1,4;0,61;0,64;0,36;51,0;0,57;8,0;0,38;0,47
Portugal U19 League;Portugal;176,0;176,0;2,78;0,63;0,1;1,03;1,44;1,34;0,52;0,51;0,49;23,0;0,48;11,0;0,36;0,42
France Ligue 2;France;174,0;174,0;2,48;0,7;0,06;0,73;1,27;1,21;0,51;0,53;0,47;18,0;0,56;0,0;0,0;0,28
Romania Liga I;Romania;173,0;173,0;2,51;0,62;0,43;0,96;1,47;1,04;0,59;0,47;0,53;35,0;0,57;6,0;0,17;0,37
England Development League 2;England;173,0;173,0;3,9;0,5;0,44;1,96;2,17;1,73;0,56;0,71;0,29;14,0;0,71;0,0;0,0;0,36
Argentina Primera B Metropolitana;Argentina;170,0;169,0;2,02;0,7;0,06;0,6;1,04;0,98;0,51;0,42;0,58;6,0;0,5;1,0;1,0;0,75
Asia - World Cup Qualifying;International (Asia);164,0;163,0;2,69;0,65;0,3;0,94;1,49;1,2;0,56;0,4;0,6;68,0;0,44;42,0;0,43;0,43
Mexico Liga MX Femenil;Mexico;163,0;162,0;3,21;0,58;0,39;1,36;1,8;1,41;0,56;0,52;0,48;55,0;0,4;37,0;0,49;0,44
Spain Tercera Group 6;Spain;163,0;163,0;2,18;0,66;0,37;0,74;1,28;0,91;0,58;0,44;0,56;21,0;0,48;1,0;1,0;0,74
Israel Leumit Liga;Israel;162,0;162,0;2,6;0,65;0,07;0,92;1,27;1,33;0,49;0,57;0,43;10,0;0,7;3,0;1,0;0,85
UEFA Europa League Qualifying;International (Europe);162,0;162,0;2,55;0,69;0,31;0,8;1,43;1,12;0,56;0,44;0,56;53,0;0,38;14,0;0,29;0,33
Spain Tercera Group 13;Spain;161,0;161,0;2,45;0,71;0,24;0,72;1,35;1,11;0,55;0,44;0,56;13,0;0,38;5,0;0,6;0,49
Serbia Super Liga;Serbia;161,0;161,0;2,55;0,68;0,25;0,83;1,4;1,15;0,55;0,5;0,5;37,0;0,54;14,0;0,71;0,63
Thailand Division 3 Cup;Thailand;160,0;160,0;2,76;0,76;0,14;0,66;1,45;1,31;0,52;0,49;0,51;24,0;0,58;7,0;0,43;0,51
USA MLS;USA;160,0;160,0;3,28;0,58;0,71;1,39;1,99;1,29;0,61;0,58;0,42;37,0;0,51;0,0;0,0;0,26
Japan J-League;Japan;159,0;159,0;2,62;0,58;0,15;1,11;1,38;1,23;0,53;0,56;0,44;17,0;0,65;2,0;1,0;0,82
India Santosh Trophy;India;159,0;159,0;3,11;0,68;0,22;0,98;1,67;1,45;0,54;0,48;0,52;31,0;0,48;25,0;0,36;0,42
Argentina Cup;Argentina;159,0;159,0;2,35;0,63;0,62;0,86;1,48;0,87;0,63;0,4;0,6;75,0;0,45;12,0;0,33;0,39
Spain Tercera Group 5;Spain;157,0;156,0;2,39;0,71;0,4;0,7;1,39;0,99;0,58;0,49;0,51;15,0;0,4;0,0;0,0;0,2
Sierra Leone Premier League;Sierra Leone;157,0;147,0;2,04;0,73;0,05;0,55;1,04;0,99;0,51;0,44;0,56;11,0;0,55;2,0;0,0;0,27
Hungary Cup;Hungary;156,0;156,0;3,31;0,6;0,62;1,33;1,35;1,97;0,41;0,53;0,47;16,0;0,44;50,0;0,5;0,47
Türkiye 2 Lig Beyaz;Turkey;156,0;154,0;2,83;0,63;0,31;1,04;1,26;1,57;0,44;0,56;0,44;30,0;0,53;31,0;0,55;0,54
Colombia Cup;Colombia;156,0;156,0;2,42;0,69;0,59;0,76;1,51;0,92;0,62;0,47;0,53;56,0;0,48;13,0;0,62;0,55
Poland Ekstraklasa;Poland;155,0;154,0;2,62;0,59;0,36;1,06;1,49;1,13;0,57;0,59;0,41;13,0;0,69;0,0;0,0;0,35
Spain Segunda Federacion Women;Spain;155,0;155,0;2,63;0,62;0,66;1,0;1,65;0,99;0,62;0,5;0,5;40,0;0,57;11,0;0,82;0,7
England Isthmian Premier Division;England;154,0;154,0;3,1;0,53;0,02;1,47;1,54;1,56;0,5;0,62;0,38;8,0;0,5;2,0;0,0;0,25
Spain Tercera Group 1;Spain;154,0;154,0;2,31;0,65;0,32;0,81;1,32;0,99;0,57;0,47;0,53;20,0;0,6;3,0;0,67;0,63
Mexico U21 League;Mexico;154,0;153,0;2,51;0,63;0,35;0,92;1,43;1,08;0,57;0,51;0,49;2,0;0,5;1,0;1,0;0,75
Cyprus Division 1;Cyprus;152,0;152,0;2,55;0,58;0,16;1,07;1,36;1,2;0,53;0,44;0,56;37,0;0,38;28,0;0,43;0,4
France National;France;152,0;152,0;2,47;0,63;0,02;0,92;1,22;1,24;0,5;0,53;0,47;10,0;0,6;1,0;0,0;0,3
Scotland FA Cup;Scotland;150,0;150,0;2,93;0,53;0,45;1,38;1,69;1,24;0,58;0,49;0,51;52,0;0,46;29,0;0,55;0,51
Premier League International Cup;England;150,0;150,0;3,29;0,5;0,19;1,63;1,55;1,74;0,47;0,63;0,37;9,0;0,44;1,0;1,0;0,72
Thailand Premier League;Thailand;150,0;149,0;2,65;0,64;0,42;0,96;1,53;1,11;0,58;0,54;0,46;24,0;0,46;3,0;0,67;0,56
Africa Cup of Nations Qualification;International (Africa);149,0;149,0;2,2;0,71;0,4;0,63;1,3;0,9;0,59;0,37;0,63;52,0;0,44;23,0;0,39;0,42
San Marino Campionato;San Marino;149,0;146,0;2,88;0,62;0,02;1,08;1,43;1,45;0,5;0,46;0,54;39,0;0,44;40,0;0,42;0,43
England League 1;England;149,0;149,0;2,58;0,61;0,19;1,0;1,38;1,19;0,54;0,53;0,47;21,0;0,52;2,0;0,5;0,51
Egypt Division 1;Egypt;149,0;149,0;2,08;0,67;0,13;0,68;1,11;0,97;0,53;0,51;0,49;24,0;0,5;12,0;0,75;0,62
Venezuela Cup;Venezuela;148,0;148,0;2,69;0,69;0,66;0,84;1,68;1,01;0,62;0,46;0,54;29,0;0,48;5,0;0,6;0,54
USA USL League One Cup;USA;148,0;148,0;2,7;0,63;0,27;1,0;1,49;1,22;0,55;0,55;0,45;23,0;0,65;2,0;1,0;0,83
Womens Euro Championships Qual;International (Europe);148,0;148,0;2,95;0,56;0,09;1,3;1,52;1,43;0,52;0,43;0,57;54,0;0,43;39,0;0,36;0,39
Ethiopia Higher League;Ethiopia;148,0;143,0;1,8;0,81;0,41;0,35;0,7;1,11;0,39;0,32;0,68;10,0;0,5;3,0;0,0;0,25
Malaysia MFL Cup;Malaysia;148,0;148,0;2,92;0,65;0,27;1,01;1,59;1,32;0,55;0,52;0,48;30,0;0,53;12,0;0,5;0,52
