League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
AFC Cup;International (Asia);18,0;18,0;2,5;0,62;0,72;0,96;1,61;0,89;0,64;0,39;0,61;5,0;0,0;1,0;1,0;0,5
South Africa Supa 8 Cup;South Africa;18,0;18,0;2,22;0,65;0,78;0,79;1,5;0,72;0,67;0,5;0,5;4,0;0,25;0,0;0,0;0,12
Vietnam U19 Championship Women;Vietnam;18,0;18,0;2,44;0,63;0,22;0,9;1,11;1,33;0,45;0,44;0,56;3,0;0,67;2,0;0,0;0,33
Brazil Campeonato Catarinense U20;Brazil;18,0;18,0;4,17;0,45;0,72;2,28;2,44;1,72;0,59;0,67;0,33;4,0;1,0;0,0;0,0;0,5
Finland Ykkosliiga;Finland;18,0;18,0;2,11;0,86;0,56;0,3;1,33;0,78;0,63;0,33;0,67;4,0;0,25;0,0;0,0;0,12
Malta Challenge League Cup;Malta;18,0;18,0;2,94;0,65;0,5;1,02;1,22;1,72;0,42;0,5;0,5;2,0;0,0;2,0;0,5;0,25
Brazil Campeonato Paranaense 2;Brazil;18,0;18,0;3,0;0,84;0,44;0,48;1,72;1,28;0,57;0,56;0,44;5,0;0,4;2,0;0,0;0,2
Brazil Copa Rio Women;Brazil;18,0;18,0;2,72;0,5;0,5;1,36;1,61;1,11;0,59;0,44;0,56;3,0;0,0;1,0;0,0;0,0
Australia WA State League 1 Reserves;Australia;18,0;18,0;3,72;0,55;0,94;1,67;1,39;2,33;0,37;0,61;0,39;3,0;1,0;1,0;0,0;0,5
Norway Division 3 Group 2;Norway;18,0;18,0;4,39;0,58;1,17;1,87;2,78;1,61;0,63;0,61;0,39;2,0;1,0;0,0;0,0;0,5
Ivory Coast Cup;Ivory Coast;18,0;17,0;2,28;0,72;0,06;0,64;1,11;1,17;0,49;0,39;0,61;4,0;0,75;2,0;0,5;0,62
Hong Kong Senior Shield;Hong Kong;18,0;18,0;3,22;0,46;0,78;1,74;2,0;1,22;0,62;0,67;0,33;6,0;0,67;1,0;1,0;0,83
Hungary Cup Women;Hungary;18,0;18,0;3,67;0,65;1,11;1,27;2,39;1,28;0,65;0,5;0,5;4,0;0,5;4,0;0,75;0,62
nan;Turkey;18,0;18,0;3,89;0,58;1,56;1,62;2,72;1,17;0,7;0,61;0,39;6,0;0,5;1,0;1,0;0,75
nan;International (Europe);18,0;18,0;2,11;0,61;0,22;0,83;0,94;1,17;0,45;0,5;0,5;2,0;0,5;1,0;0,0;0,25
Iraq Premier League;Iraq;18,0;18,0;2,67;0,91;0,33;0,24;1,5;1,17;0,56;0,5;0,5;2,0;1,0;0,0;0,0;0,5
Malawi Top 8 Cup;Malawi;18,0;18,0;1,89;0,79;0,44;0,4;1,17;0,72;0,62;0,33;0,67;5,0;0,2;1,0;1,0;0,6
Thailand U21 League;Thailand;18,0;17,0;2,5;0,78;0,06;0,55;1,28;1,22;0,51;0,5;0,5;3,0;0,33;1,0;1,0;0,67
Lebanon Cup;Lebanon;18,0;18,0;2,61;0,6;0,17;1,03;1,39;1,22;0,53;0,5;0,5;5,0;0,6;2,0;0,0;0,3
Sweden 2.div Södra Götaland;Sweden;18,0;18,0;3,06;0,44;0,28;1,71;1,67;1,39;0,55;0,67;0,33;0,0;0,0;0,0;0,0;0,0
Germany U19 Cup;Germany;18,0;17,0;3,56;0,47;0,22;1,87;1,67;1,89;0,47;0,67;0,33;2,0;1,0;0,0;0,0;0,5
New Zealand Central League;New Zealand;18,0;18,0;2,56;0,59;0,33;1,05;1,11;1,44;0,43;0,39;0,61;3,0;0,67;4,0;0,25;0,46
Malawi League Women;Malawi;18,0;18,0;2,28;0,58;0,5;0,96;1,39;0,89;0,61;0,33;0,67;5,0;0,4;3,0;0,67;0,53
Finland Ykkonen Women;Finland;17,0;17,0;2,76;0,55;0,18;1,24;1,47;1,29;0,53;0,41;0,59;4,0;0,25;2,0;0,0;0,12
Scotland Reserve Cup;Scotland;17,0;17,0;4,24;0,56;0,71;1,88;2,47;1,76;0,58;0,71;0,29;3,0;0,33;1,0;1,0;0,67
Brazil Campeonato Carioca B1 U20;Brazil;17,0;17,0;3,71;0,47;0,53;1,98;2,12;1,59;0,57;0,65;0,35;1,0;0,0;0,0;0,0;0,0
Spain Regional Cup;Spain;17,0;17,0;2,65;0,78;0,41;0,59;1,53;1,12;0,58;0,53;0,47;2,0;0,5;0,0;0,0;0,25
Zambia Division 1;Zambia;17,0;17,0;2,35;0,58;0,0;0,99;1,18;1,18;0,5;0,71;0,29;1,0;0,0;0,0;0,0;0,0
Portugal League Cup;Portugal;17,0;17,0;3,0;0,44;1,24;1,68;2,12;0,88;0,71;0,59;0,41;10,0;0,6;1,0;1,0;0,8
Republic of Ireland Munster Senior Cup;Ireland;17,0;17,0;2,94;0,71;0,59;0,87;1,76;1,18;0,6;0,53;0,47;4,0;0,25;2,0;0,5;0,38
