Match ID,Date,Time,IN_LIVE,Odd_Ent,Juice,Stake,Lucro_Max,Jogo,Liga,Região,OBS
192951057,2026-04-28,19:00,False,2.25,0.0,1.0,1.25,San Lorenzo vs Santos,Copa Sudamericana,International (South America),
192731552,2026-04-28,21:00,False,2.1,0.0,1.0,1.1,UCV vs Rosario Central,Copa Libertadores,International (South America),
192951062,2026-04-28,21:00,False,2.25,0.0,1.0,1.25,Barracas Central vs Audax Italiano,Copa Sudamericana,International (South America),
192731571,2026-04-28,23:00,False,2.25,0.0,1.0,1.25,Deportes Tolima vs Coquimbo Unido,Copa Libertadores,International (South America),
192940742,2026-04-29,02:00,False,2.0,0.0,1.0,1.0,Avispa Fukuoka vs Sanfrecce Hiroshima,Japan J-League,Japan,
193118194,2026-04-29,02:00,False,2.2,0.0,1.0,1.2,Yokohama FC vs Vanraure Hachinohe,Japan J2/J3 Centennial League,Japan,
192940752,2026-04-29,03:00,False,1.95,0.0,1.0,0.95,Nagoya Grampus vs Fagiano Okayama,Japan J-League,Japan,
193662069,2026-04-29,12:00,False,2.62,0.0,1.0,1.62,FUS Rabat vs CODM Meknes,Morocco GNF 1,Morocco,
193715387,2026-04-29,13:00,False,2.2,0.0,1.0,1.2,Maccabi Bnei Raina vs Hapoel Jerusalem FC,Israel Premier League,Israel,
193703559,2026-04-29,13:45,False,2.37,0.0,1.0,1.37,JS Kabylie vs MC Oran,Algeria Division 1,Algeria,
193709686,2026-04-29,14:00,False,2.75,0.0,1.0,1.75,Modern Sport FC vs Talaea El Geish,Egypt Division 1,Egypt,
193662104,2026-04-29,16:00,False,2.5,0.0,1.0,1.5,MAS Fes vs HUSA Agadir,Morocco GNF 1,Morocco,
192731578,2026-04-29,19:00,False,2.62,0.0,1.0,1.62,Platense vs Independiente Santa Fe,Copa Libertadores,International (South America),
192951073,2026-04-29,19:00,False,2.2,0.0,1.0,1.2,Caracas vs Racing Club,Copa Sudamericana,International (South America),
193708327,2026-04-29,19:30,False,2.1,0.0,1.0,1.1,Chapecoense vs America MG,Brazil Copa Sul-Sudeste,Brazil,
193708329,2026-04-29,21:15,False,2.2,0.0,1.0,1.2,Novorizontino vs Avai,Brazil Copa Sul-Sudeste,Brazil,
193711077,2026-04-29,21:30,False,2.5,0.0,1.0,1.5,Botafogo PB vs Fluminense PI,Brazil Copa Nordeste,Brazil,
193711120,2026-04-29,21:30,False,2.25,0.0,1.0,1.25,Juazeirense vs ASA,Brazil Copa Nordeste,Brazil,
193711113,2026-04-29,21:30,False,2.25,0.0,1.0,1.25,Maranhao vs Ceara,Brazil Copa Nordeste,Brazil,
192731589,2026-04-29,23:00,False,2.05,0.0,1.0,1.05,Universitario de Deportes vs Nacional De Football,Copa Libertadores,International (South America),
193724582,2026-04-30,12:00,False,2.5,0.0,1.0,1.5,Difaa El Jadida vs Renaissance Zemamra,Morocco GNF 1,Morocco,
193126975,2026-04-30,16:00,False,1.96,0.0,1.0,0.96,Braga vs SC Freiburg,UEFA Europa League,International (Europe),
192731591,2026-04-30,19:00,False,1.95,0.0,1.0,0.95,Bolivar vs Fluminense,Copa Libertadores,International (South America),
192951100,2026-04-30,19:00,False,2.0,0.0,1.0,1.0,Carabobo vs Blooming,Copa Sudamericana,International (South America),
192731597,2026-04-30,21:00,False,2.75,0.0,1.0,1.75,Corinthians vs Penarol,Copa Libertadores,International (South America),
192951152,2026-04-30,23:00,False,2.37,0.0,1.0,1.37,Alianza Atletico vs Macara,Copa Sudamericana,International (South America),
193330016,2026-05-01,14:30,True,2.2,0.0,1.0,1.2,FK Csikszereda Miercurea Ciuc vs FCSB,Romania Liga I,Romania,
193004668,2026-05-01,15:45,False,2.05,0.0,1.0,1.05,Pisa vs Lecce,Italy Serie A,Italy,
193770858,2026-05-01,15:45,False,2.1,0.0,1.0,1.1,Cork City vs Cobh Ramblers,Republic of Ireland First Division,Ireland,
193394406,2026-05-01,20:00,False,2.0,0.0,1.0,1.0,Libertad Asuncion vs Sportivo San Lorenzo,Paraguay Division Profesional,Paraguay,
192940795,2026-05-02,02:00,False,1.9,0.0,1.0,0.9,Yokohama F-Marinos vs Mito Hollyhock,Japan J-League,Japan,
193200084,2026-05-02,02:00,False,2.2,0.0,1.0,1.2,Sagan Tosu vs Tegevajaro Miyazaki,Japan J2/J3 Centennial League,Japan,
193200094,2026-05-02,02:00,False,2.1,0.0,1.0,1.1,Vegalta Sendai vs Blaublitz Akita,Japan J2/J3 Centennial League,Japan,
193200096,2026-05-02,02:00,False,1.83,0.0,1.0,0.83,Yokohama FC vs Sagamihara,Japan J2/J3 Centennial League,Japan,
193417521,2026-05-02,03:00,False,1.83,0.0,1.0,0.83,Sutherland Sharks vs Marconi Stallions,Australia New South Wales Premier League,Australia,
193771670,2026-05-02,04:00,False,2.0,0.0,1.0,1.0,Yanbian Longding vs Wuxi Wugo,China Division 1,China,
193200100,2026-05-02,06:00,False,1.9,0.0,1.0,0.9,Nagano Parceiro vs Fujieda MYFC,Japan J2/J3 Centennial League,Japan,
193744314,2026-05-02,08:15,False,2.1,0.0,1.0,1.1,FK Riteriai vs FK Transinvest,Lithuania A Lyga,Lithuania,
192946937,2026-05-02,10:00,False,1.9,0.0,1.0,0.9,Sirius vs Kalmar FF,Sweden Allsvenskan,Sweden,
193340866,2026-05-02,11:00,False,1.83,0.0,1.0,0.83,HNK Gorica vs Dinamo Zagreb,Croatia HNL,Croatia,
192500310,2026-05-02,11:00,False,2.25,0.0,1.0,1.25,Stevenage vs Wigan,England League 1,England,
193782404,2026-05-02,11:00,False,2.1,0.0,1.0,1.1,Sohar Club vs Bahla,Oman League,Oman,
192946792,2026-05-02,11:15,False,1.8,0.0,1.0,0.8,Valencia vs Atletico Madrid,Spain La Liga,Spain,
193109778,2026-05-02,11:15,False,2.75,0.0,1.0,1.75,Gimnastic vs Sevilla Atletico,Spain Primera Division RFEF Group 2,Spain,
192946427,2026-05-02,11:15,True,2.2,0.0,1.0,1.2,Cultural Leonesa vs Cadiz,Spain Segunda,Spain,
193199371,2026-05-02,11:30,False,2.1,0.0,1.0,1.1,Panserraikos vs Larissa,Greece Super League 1,Greece,
192943796,2026-05-02,11:30,False,1.95,0.0,1.0,0.95,FC Arouca vs Santa Clara,Portugal Primeira Liga,Portugal,
