DATA;Time;BTTS;IN LIVE?;Odd J;Odd M;Juice;EV;Stake;Lucro Max;Profit;Jogo;Liga;Região;Match ID;%_ProbMod;OBS;ROI;DATA_DISPLAY;Prob_BTTS;Fair_Odd_BTTS
2026-04-26;02:00;Sim;;1,89;2,0;0,00%;5,82%;1,0;1,00;1,0;Kochi United vs Tokushima Vortis;Japan J2/J3 Centennial League;Japan;193116612,0;52,91%;;100,0;26/04/2026;0,460572323821765;2,1712069463818646
2026-04-26;07:00;Sim;;1,75;1,9;0,00%;8,57%;1,0;0,90;0,9;Deportivo La Coruna (W) vs Alhama CF (W);Spain Primera Women;Spain;193544767,0;57,14%;;90,0;26/04/2026;0,5006161317805339;1,9975345159350064
2026-04-26;08:15;Sim;;2,17;2,1;0,00%;-3,23%;1,0;1,10;-1,0;NK Croatia Zmijavci vs NK Rudes;Croatia 1.NL;Croatia;193440605,0;46,08%;;-100,0;26/04/2026;0,4078171584621947;2,452073256793693
2026-04-26;09:30;Sim;;2,34;2,37;0,00%;1,28%;1,0;1,37;1,37;LNZ Cherkasy vs FC Metalist 1925;Ukraine Vyscha Liga;Ukraine;193376573,0;42,74%;;137,0;26/04/2026;0,3650526855989391;2,739323117254144
2026-04-26;10:00;Sim;;2,46;2,5;0,00%;1,63%;1,0;1,50;-1,0;Polokwane City vs Stellenbosch FC;South Africa Premier;South Africa;193113525,0;40,65%;;-100,0;26/04/2026;0,3252385624684854;3,074656700464897
2026-04-26;10:50;Sim;;2,16;2,37;0,00%;9,72%;1,0;1,37;1,37;Orlando Pirates vs Kaizer Chiefs;South Africa Premier;South Africa;193113517,0;46,30%;;137,0;26/04/2026;0,3583269895520225;2,790739292373416
2026-04-26;11:00;Sim;;2,07;2,1;0,00%;1,45%;1,0;1,10;1,1;Ourense CF vs Zamora CF;Spain Primera Division RFEF Group 1;Spain;193108439,0;48,31%;;110,00000000000001;26/04/2026;0,4069982821510115;2,457006790564716
2026-04-26;11:00;Sim;;2,06;2,2;0,00%;6,80%;1,0;1,20;-1,0;SD Tarazona vs Juventud Torremolinos CF;Spain Primera Division RFEF Group 2;Spain;193109479,0;48,54%;;-100,0;26/04/2026;0,4011073325056893;2,4930920625684485
2026-04-26;12:00;Sim;;2,37;2,62;0,00%;10,55%;1,0;1,62;1,62;Renaissance Zemamra vs MAS Fes;Morocco GNF 1;Morocco;193504186,0;42,19%;;162,0;26/04/2026;0,4029139844843492;2,481913154160301
2026-04-26;13:00;Sim;;2,24;2,5;0,00%;11,61%;1,0;1,50;1,5;Deportivo Armenio vs San Martin De Burzaco;Argentina Primera B Metropolitana;Argentina;193438204,0;44,64%;;150,0;26/04/2026;0,393072689971925;2,544052236290412
