League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index;btts_equilibrado;btts_favorito;btts_super_fav;btts_hiper_fav
Algeria Cup;Algeria;138,0;138,0;2,12;0,69;0,11;0,47;0,67;1,3;0,83;0,61;0,36;0,64;59,0;0,37;18,0;0,28;0,33;0,38;0,45;0,31;0,28
Australia South Australia Premier League;Australia;138,0;138,0;3,49;0,56;0,15;0,26;1,55;1,88;1,62;0,54;0,59;0,41;10,0;0,8;3,0;0,67;0,73;0,56;0,53;0,76;0,67
Hong Kong 2nd Division;Hong Kong;138,0;138,0;3,51;0,61;0,15;0,02;1,36;1,75;1,77;0,5;0,59;0,41;22,0;0,59;17,0;0,53;0,56;0,63;0,61;0,52;0,52
Iceland 1 Deild;Iceland;137,0;137,0;3,59;0,52;0,18;0,1;1,73;1,85;1,74;0,51;0,69;0,31;20,0;0,55;2,0;1,0;0,78;0,75;0,67;0,7;0,33
Belgium Reserve League;Belgium;137,0;136,0;3,92;0,52;0,19;0,56;1,88;2,24;1,68;0,57;0,66;0,34;19,0;0,68;6,0;0,67;0,68;0,65;0,64;0,7;0,71
Slovakia Youth League;Slovakia;137,0;137,0;3,4;0,57;0,15;0,67;1,45;2,04;1,36;0,6;0,55;0,45;18,0;0,61;6,0;0,83;0,72;0,63;0,47;0,58;0,46
Ethiopia Premier League Women;Ethiopia;136,0;135,0;2,48;0,63;0,12;0,17;0,91;1,32;1,15;0,53;0,35;0,65;41,0;0,24;27,0;0,37;0,31;0,47;0,42;0,19;0,31
Chile Segunda;Chile;136,0;136,0;2,87;0,67;0,13;0,25;0,95;1,56;1,31;0,54;0,51;0,49;12,0;0,5;4,0;0,5;0,5;0,54;0,48;0,55;0,51
Morocco GNF 2;Morocco;136,0;136,0;2,16;0,64;0,12;0,32;0,79;1,24;0,92;0,57;0,46;0,54;7,0;0,71;0,0;0,0;0,36;0,44;0,46;0,71;0,46
Brazil Serie A1 Women;Brazil;136,0;136,0;2,74;0,58;0,12;0,41;1,16;1,57;1,16;0,58;0,54;0,46;50,0;0,5;19,0;0,47;0,49;0,79;0,52;0,54;0,45
Leagues Cup;International (North & Central America);135,0;135,0;3,01;0,52;0,14;0,62;1,43;1,81;1,19;0,6;0,64;0,36;30,0;0,6;0,0;0,0;0,3;0,59;0,73;0,56;0,64
Malta Challenge League;Malta;135,0;135,0;3,39;0,55;0,19;0,04;1,54;1,67;1,72;0,49;0,61;0,39;15,0;0,67;19,0;0,47;0,57;0,6;0,68;0,65;0,48
Chile Primera Division Women;Chile;135,0;135,0;3,04;0,6;0,13;0,51;1,22;1,78;1,27;0,58;0,41;0,59;45,0;0,31;33,0;0,39;0,35;0,59;0,48;0,6;0,31
South Africa National Div 2;South Africa;135,0;135,0;2,33;0,64;0,12;0,19;0,84;1,26;1,07;0,54;0,44;0,56;14,0;0,57;6,0;0,5;0,54;0,35;0,54;0,3;0,44
Spain Tercera Group 9;Spain;135,0;135,0;2,48;0,57;0,13;0,51;1,06;1,5;0,99;0,6;0,52;0,48;18,0;0,61;0,0;0,0;0,31;0,53;0,45;0,6;0,52
England National League Cup;England;133,0;133,0;3,44;0,48;0,14;0,28;1,79;1,86;1,58;0,54;0,63;0,37;1,0;1,0;0,0;0,0;0,5;0,68;0,6;0,5;0,63
Australia Queensland Premier League 2;Australia;133,0;133,0;4,07;0,51;0,16;0,29;2,01;2,18;1,89;0,54;0,71;0,29;13,0;0,69;5,0;0,8;0,75;0,7;0,74;0,72;0,64
Türkiye 3.Lig Group 4;Turkey;133,0;132,0;2,68;0,6;0,15;0,05;1,07;1,36;1,32;0,51;0,45;0,55;26,0;0,46;11,0;0,45;0,46;0,31;0,5;0,54;0,29
Bolivia Copa Division Profesional;Bolivia;133,0;132,0;3,44;0,55;0,13;0,71;1,54;2,08;1,36;0,6;0,62;0,38;41,0;0,76;3,0;0,67;0,71;0,86;0,58;0,52;0,68
Faroe Islands Premier League;Faroe Islands;133,0;133,0;3,3;0,58;0,15;0,02;1,39;1,64;1,66;0,5;0,59;0,41;38,0;0,5;32,0;0,72;0,61;0,57;0,61;0,67;0,56
India Calcutta Football League;India;132,0;132,0;2,73;0,67;0,14;0,15;0,89;1,29;1,44;0,47;0,42;0,58;20,0;0,5;16,0;0,5;0,5;0,35;0,5;0,33;0,41
USA USL Super League Women;USA;132,0;132,0;2,62;0,59;0,13;0,05;1,08;1,29;1,33;0,49;0,54;0,46;8,0;0,38;4,0;0,5;0,44;0,57;0,56;0,33;0,54
France Division 1 Women;France;132,0;132,0;2,98;0,6;0,15;0,02;1,18;1,5;1,48;0,5;0,47;0,53;33,0;0,39;23,0;0,39;0,39;0,57;0,42;0,61;0,36
England Southern Premier League South;England;131,0;131,0;3,24;0,55;0,16;0,53;1,45;1,89;1,35;0,58;0,63;0,37;7,0;0,43;1,0;0,0;0,21;0,52;0,71;0,77;0,63
Sweden 2.div Södra Götaland;Sweden;131,0;131,0;3,4;0,54;0,16;0,25;1,55;1,82;1,57;0,54;0,61;0,39;7,0;0,43;0,0;0,0;0,21;0,71;0,56;0,46;0,61
Spain Tercera Group 3;Spain;131,0;131,0;2,66;0,61;0,14;0,37;1,04;1,51;1,15;0,57;0,42;0,58;37,0;0,35;9,0;0,44;0,4;0,55;0,4;0,3;0,38
Estonia Esiliiga B;Estonia;131,0;131,0;4,05;0,53;0,15;0,38;1,92;2,21;1,83;0,55;0,6;0,4;27,0;0,63;9,0;0,44;0,54;0,67;0,68;0,56;0,48
Qatar Stars League;Qatar;131,0;131,0;3,35;0,56;0,15;0,01;1,47;1,67;1,68;0,5;0,63;0,37;16,0;0,69;12,0;0,83;0,76;0,6;0,6;0,61;0,83
Spain Tercera Group 14;Spain;131,0;130,0;2,53;0,68;0,12;0,37;0,81;1,45;1,08;0,57;0,5;0,5;33,0;0,55;2,0;1,0;0,77;0,58;0,39;0,52;0,56
Greece Cup;Greece;131,0;130,0;2,42;0,68;0,13;0,51;0,77;1,47;0,95;0,61;0,45;0,55;40,0;0,45;26,0;0,54;0,49;0,43;0,44;0,42;0,49
Australia South Australia State League 1;Australia;130,0;130,0;3,31;0,53;0,17;0,57;1,57;1,94;1,37;0,59;0,55;0,45;13,0;0,54;5,0;0,8;0,67;0,57;0,67;0,5;0,55
Lebanon League;Lebanon;130,0;129,0;2,61;0,66;0,16;0,04;0,9;1,28;1,32;0,49;0,42;0,58;34,0;0,41;24,0;0,54;0,48;0,43;0,46;0,39;0,43
Germany DFB Pokal;Germany;130,0;130,0;3,12;0,58;0,13;0,84;1,3;1,14;1,98;0,37;0,46;0,54;15,0;0,53;58,0;0,47;0,5;0,2;0,59;0,46;0,44
Japan Women Empowerment League;Japan;130,0;130,0;2,73;0,62;0,12;0,36;1,03;1,55;1,18;0,57;0,45;0,55;27,0;0,44;22,0;0,55;0,49;0,5;0,46;0,46;0,36
Qatar Stars Cup;Qatar;130,0;130,0;3,33;0,54;0,19;0,52;1,54;1,92;1,41;0,58;0,62;0,38;11,0;0,55;5,0;0,8;0,67;0,62;0,65;0,56;0,62
England Super League Women;England;130,0;130,0;3,06;0,67;0,16;0,28;1,02;1,67;1,39;0,55;0,56;0,44;37,0;0,57;25,0;0,6;0,58;0,66;0,5;0,56;0,55
England FA WSL 2;England;130,0;130,0;3,03;0,54;0,15;0,25;1,38;1,64;1,39;0,54;0,62;0,38;25,0;0,6;14,0;0,79;0,69;0,78;0,54;0,7;0,48
Scotland Premier League Women;Scotland;129,0;129,0;3,58;0,6;0,19;0,0;1,44;1,79;1,79;0,5;0,44;0,56;34,0;0,18;35,0;0,4;0,29;0,61;0,73;0,44;0,28
Brazil Campeonato Paulista A3;Brazil;129,0;129,0;2,18;0,6;0,1;0,26;0,87;1,22;0,96;0,56;0,41;0,59;22,0;0,36;0,0;0,0;0,18;0,45;0,4;0,4;0,41
Israel League Cup;Israel;129,0;128,0;2,77;0,57;0,14;0,02;1,18;1,4;1,37;0,5;0,58;0,42;8,0;0,88;2,0;0,5;0,69;0,6;0,51;0,76;0,58
Spain Tercera Group 16;Spain;129,0;129,0;3,12;0,57;0,14;0,42;1,33;1,77;1,35;0,57;0,53;0,47;30,0;0,57;14,0;0,57;0,57;0,57;0,53;0,47;0,62
