League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index;btts_equilibrado;btts_favorito;btts_super_fav;btts_hiper_fav
Australia Tasmania Premier League;Australia;81,0;81,0;4,35;0,61;0,21;0,02;1,69;2,16;2,19;0,5;0,62;0,38;22,0;0,45;18,0;0,67;0,56;0,91;0,68;0,54;0,54
Malta FA Trophy;Malta;81,0;81,0;2,83;0,58;0,16;0,53;1,18;1,68;1,15;0,59;0,42;0,58;29,0;0,28;10,0;0,3;0,29;0,44;0,67;0,18;0,26
Switzerland U19 Elite;Switzerland;80,0;80,0;3,96;0,48;0,15;0,16;2,06;2,06;1,9;0,52;0,68;0,32;7,0;0,71;4,0;0,75;0,73;0,8;0,66;0,47;0,71
Uruguay Cup;Uruguay;80,0;80,0;2,62;0,59;0,14;0,15;1,09;1,39;1,24;0,53;0,49;0,51;14,0;0,36;18,0;0,5;0,43;0,33;0,67;0,5;0,33
Iceland 3 Deild;Iceland;80,0;80,0;4,75;0,53;0,18;0,25;2,23;2,5;2,25;0,53;0,7;0,3;11,0;0,45;5,0;0,6;0,53;0,85;0,76;0,5;0,5
New Zealand Central League;New Zealand;79,0;79,0;3,89;0,54;0,15;0,24;1,8;1,82;2,06;0,47;0,56;0,44;16,0;0,69;20,0;0,4;0,54;0,6;0,65;0,42;0,6
Italy Campionato Primavera 4;Italy;79,0;78,0;3,43;0,57;0,14;0,14;1,48;1,78;1,65;0,52;0,65;0,35;12,0;0,75;1,0;1,0;0,88;0,68;0,68;0,5;0,57
England League Cup Women;England;79,0;79,0;3,44;0,6;0,16;0,15;1,39;1,65;1,8;0,48;0,54;0,46;23,0;0,61;19,0;0,58;0,59;0,6;0,48;0,67;0,48
Uruguay Primera Division Amateur;Uruguay;78,0;77,0;2,55;0,75;0,14;0,01;0,63;1,27;1,28;0,5;0,35;0,65;9,0;0,22;8,0;0,5;0,36;0,42;0,39;0,42;0,0
Indonesia Liga 1;Indonesia;78,0;78,0;2,77;0,52;0,15;0,13;1,34;1,45;1,32;0,52;0,63;0,37;9,0;0,44;1,0;1,0;0,72;0,58;0,74;0,33;0,63
Brazil Campeonato Carioca A2;Brazil;78,0;78,0;1,85;0,62;0,09;0,0;0,69;0,92;0,92;0,5;0,44;0,56;2,0;0,5;0,0;0,0;0,25;0,46;0,42;0,44;0,44
Jordan Shield Cup;Jordan;77,0;77,0;2,26;0,66;0,11;0,13;0,76;1,19;1,06;0,53;0,48;0,52;12,0;0,75;10,0;0,3;0,52;0,43;0,54;0,5;0,44
Finland Kansallinen Liiga Women;Finland;77,0;77,0;3,82;0,58;0,17;0,73;1,6;2,27;1,55;0,6;0,56;0,44;26,0;0,54;15,0;0,53;0,54;0,78;0,5;0,56;0,5
Belgium Cup;Belgium;77,0;76,0;3,06;0,56;0,15;0,55;1,35;1,81;1,26;0,59;0,53;0,47;22,0;0,55;11,0;0,45;0,5;0,53;0,57;0,53;0,45
Australia SA Premier League Women;Australia;77,0;77,0;4,06;0,46;0,2;0,04;2,18;2,05;2,01;0,5;0,66;0,34;16,0;0,75;10,0;0,4;0,57;0,6;0,75;0,62;0,55
Spain Tercera Group 17;Spain;77,0;77,0;2,26;0,68;0,12;0,1;0,73;1,08;1,18;0,48;0,44;0,56;8,0;0,38;3,0;0,67;0,52;0,48;0,4;0,55;0,44
Norway Division 3 Group 4;Norway;76,0;76,0;4,54;0,43;0,18;0,49;2,6;2,51;2,03;0,55;0,78;0,22;9,0;0,56;4,0;1,0;0,78;0,91;0,71;0,8;0,5
Botswana Premier League;Botswana;76,0;76,0;2,25;0,77;0,11;0,25;0,52;1,25;1,0;0,56;0,39;0,61;19,0;0,37;5,0;0,4;0,38;0,48;0,39;0,4;0,2
Kuwait League;Kuwait;75,0;75,0;2,72;0,73;0,13;0,35;0,74;1,53;1,19;0,56;0,52;0,48;15,0;0,53;11,0;0,64;0,58;0,55;0,47;0,5;0,56
Northern Ireland Cup;North Ireland;75,0;75,0;2,99;0,52;0,17;0,32;1,42;1,65;1,33;0,55;0,49;0,51;26,0;0,42;16,0;0,38;0,4;0,7;0,69;0,36;0,43
Senegal League Cup;Senegal;75,0;75,0;1,67;0,81;0,1;0,2;0,32;0,73;0,93;0,44;0,36;0,64;6,0;0,17;5,0;0,4;0,28;0,42;0,28;0,33;0,36
Costa Rica U21 League;Costa Rica;74,0;74,0;2,59;0,67;0,17;0,35;0,84;1,47;1,12;0,57;0,5;0,5;10,0;0,5;4,0;0,5;0,5;0,4;0,62;0,53;0,57
Brazil Campeonato Carioca U20;Brazil;74,0;73,0;2,58;0,64;0,12;0,28;0,93;1,43;1,15;0,55;0,41;0,59;16,0;0,31;6,0;0,83;0,57;0,41;0,45;0,41;0,33
Jordan Division 1;Jordan;74,0;73,0;2,7;0,67;0,14;0,35;0,88;1,53;1,18;0,56;0,46;0,54;8,0;0,62;5,0;0,4;0,51;0,33;0,47;0,56;0,5
China Super League Women;China;74,0;74,0;2,35;0,64;0,13;0,43;0,85;1,39;0,96;0,59;0,51;0,49;14,0;0,57;3,0;0,33;0,45;0,55;0,52;0,5;0,51
Greece Super League 2 U19;Greece;73,0;73,0;3,01;0,63;0,15;0,38;1,11;1,7;1,32;0,56;0,41;0,59;21,0;0,33;13,0;0,54;0,44;0,42;0,44;0,45;0,37
Denmark Future Cup;Denmark;73,0;73,0;3,96;0,5;0,17;0,01;2,0;1,97;1,99;0,5;0,71;0,29;6,0;0,67;1,0;1,0;0,83;0,73;0,73;0,7;0,71
Israel Youth Cup;Israel;73,0;73,0;3,18;0,54;0,14;0,03;1,46;1,58;1,6;0,5;0,58;0,42;12,0;0,42;11,0;0,64;0,53;0,46;0,89;0,4;0,5
UEFA Women's Champions League Qualifying;International (Europe);73,0;73,0;3,29;0,53;0,15;0,44;1,56;1,86;1,42;0,57;0,48;0,52;26,0;0,35;12,0;0,42;0,38;0,88;0,5;0,48;0,32
USA USL W-League Women;USA;72,0;72,0;3,39;0,56;0,14;0,47;1,5;1,93;1,46;0,57;0,49;0,51;13,0;0,23;13,0;0,62;0,42;0,53;0,57;0,67;0,27
Brazil Paulista Serie B;Brazil;72,0;72,0;2,61;0,57;0,12;0,17;1,13;1,39;1,22;0,53;0,49;0,51;7,0;0,43;1,0;0,0;0,21;0,48;0,48;0,58;0,49
Brazil Campeonato Paulista;Brazil;72,0;72,0;2,33;0,61;0,09;0,64;0,91;1,49;0,85;0,64;0,42;0,58;21,0;0,33;5,0;0,8;0,57;0,33;0,53;0,29;0,42
Wales Cup;Wales;72,0;72,0;3,78;0,55;0,16;0,42;1,69;2,1;1,68;0,56;0,6;0,4;23,0;0,52;14,0;0,93;0,73;0,6;0,61;0,47;0,66
Slovakia I Liga Women;Slovakia;72,0;72,0;3,65;0,67;0,16;0,07;1,2;1,86;1,79;0,51;0,56;0,44;19,0;0,63;14,0;0,5;0,57;0,43;0,77;0,67;0,43
Brazil Copa Verde;Brazil;72,0;71,0;2,94;0,7;0,12;0,78;0,87;1,86;1,08;0,63;0,51;0,49;26,0;0,5;2,0;0,5;0,5;0,62;0,5;0,33;0,69
Türkiye Womens League;Turkey;72,0;72,0;3,6;0,7;0,18;0,65;1,06;2,12;1,47;0,59;0,44;0,56;28,0;0,29;20,0;0,55;0,42;0,62;0,64;0,46;0,32
Solomon Islands S League;Solomon Islands;71,0;71,0;3,82;0,59;0,12;0,35;1,57;2,08;1,73;0,55;0,59;0,41;20,0;0,55;8,0;0,75;0,65;0,78;0,5;0,71;0,52
South Africa Cup;South Africa;71,0;71,0;2,41;0,71;0,13;0,24;0,69;1,32;1,08;0,55;0,51;0,49;20,0;0,4;10,0;0,6;0,5;0,71;0,48;0,55;0,42
Myanmar Cup;Myanmar;71,0;71,0;3,73;0,7;0,18;0,58;1,12;1,58;2,15;0,42;0,55;0,45;19,0;0,53;20,0;0,6;0,56;0,38;0,73;0,67;0,51
Cyprus Cup;Cyprus;71,0;71,0;3,25;0,61;0,15;0,18;1,28;1,72;1,54;0,53;0,55;0,45;27,0;0,63;14,0;0,36;0,49;0,46;0,67;0,6;0,5
New Zealand Southern League;New Zealand;71,0;71,0;4,13;0,52;0,21;0,46;1,96;2,3;1,83;0,56;0,58;0,42;25,0;0,48;10,0;0,9;0,69;0,5;0,61;0,67;0,56
Switzerland Cup;Switzerland;70,0;70,0;3,06;0,62;0,14;1,17;1,17;0,94;2,11;0,31;0,5;0,5;1,0;1,0;38,0;0,58;0,79;0,5;0,53;0,31;0,57
Brazil Copa Gaucho;Brazil;70,0;70,0;2,67;0,66;0,14;0,84;0,9;1,76;0,91;0,66;0,44;0,56;10,0;0,3;2,0;0,5;0,4;0,56;0,48;0,25;0,17
Bangladesh Premier League;Bangladesh;70,0;70,0;2,71;0,64;0,15;0,17;0,97;1,44;1,27;0,53;0,54;0,46;12,0;0,33;5,0;0,4;0,37;0,67;0,61;0,46;0,54
Ukraine Druha Liga;Ukraine;70,0;70,0;2,77;0,56;0,15;0,11;1,21;1,33;1,44;0,48;0,5;0,5;6,0;0,5;5,0;0,8;0,65;0,43;0,5;0,62;0,5
Jordan Reserve League;Jordan;70,0;70,0;3,33;0,56;0,16;0,1;1,47;1,61;1,71;0,48;0,63;0,37;10,0;0,4;11,0;0,64;0,52;0,61;0,81;0,69;0,31
Macau 1st Division;Macau;70,0;70,0;4,54;0,61;0,17;0,03;1,79;2,29;2,26;0,5;0,56;0,44;21,0;0,52;14,0;0,43;0,48;0,44;0,63;0,78;0,47
Iran Pro League;Iran;70,0;70,0;1,71;0,9;0,11;0,17;0,17;0,94;0,77;0,55;0,37;0,63;14,0;0,5;2,0;0,5;0,5;0,35;0,36;0,5;0,37
India Super League;India;69,0;69,0;2,43;0,62;0,12;0,35;0,93;1,39;1,04;0,57;0,54;0,46;20,0;0,5;4,0;0,5;0,5;0,5;0,64;0,4;0,62
Kyrgyzstan Top Liga;Kyrgyzstan;69,0;69,0;2,88;0,57;0,23;0,25;1,24;1,32;1,57;0,46;0,64;0,36;4,0;1,0;13,0;0,85;0,92;0,67;0,5;0,62;1,0
Liberia First Division;Liberia;69,0;69,0;2,77;0,71;0,14;0,25;0,79;1,51;1,26;0,54;0,57;0,43;9,0;0,67;4,0;1,0;0,83;0,59;0,45;0,53;0,57
Rwanda Womens League;Rwanda;69,0;68,0;2,62;0,67;0,17;0,07;0,87;1,35;1,28;0,51;0,43;0,57;9,0;0,33;11,0;0,45;0,39;0,33;0,57;0,47;0,3
Tunisia Cup;Tunisia;69,0;68,0;2,39;0,81;0,13;0,28;0,46;1,33;1,06;0,56;0,45;0,55;19,0;0,53;10,0;0,5;0,51;0,53;0,38;0,41;0,5
Brazil Campeonato Catarinense;Brazil;69,0;69,0;2,38;0,69;0,11;0,46;0,74;1,42;0,96;0,6;0,45;0,55;16,0;0,5;2,0;1,0;0,75;0,67;0,34;0,47;0,45
UEFA Women's Nations League;International (Europe);69,0;69,0;2,96;0,66;0,14;0,38;1,01;1,67;1,29;0,56;0,38;0,62;21,0;0,19;14,0;0,57;0,38;0,5;0,53;0,38;0,23
Aruba Division Di Honor;Aruba;68,0;68,0;4,29;0,53;0,25;0,35;2,01;2,32;1,97;0,54;0,78;0,22;17,0;0,94;4,0;1,0;0,97;0,75;0,74;0,86;0,93
Seychelles Premier League;Seychelles;68,0;67,0;3,13;0,56;0,16;0,16;1,37;1,49;1,65;0,47;0,57;0,43;14,0;0,57;3,0;0,67;0,62;0,53;0,65;0,54;0,38
Mexico Copa Conecta;Mexico;68,0;68,0;2,59;0,65;0,12;0,0;0,9;1,29;1,29;0,5;0,51;0,49;1,0;1,0;7,0;0,43;0,71;0,6;0,47;0,51;0,29
Australia SA Premier League Women Reserves;Australia;68,0;68,0;4,56;0,58;0,21;0,03;1,93;2,29;2,26;0,5;0,66;0,34;12,0;0,67;13,0;0,77;0,72;0,66;0,67;0,61;0,73
Ivory Coast Ligue 2;Ivory Coast;68,0;67,0;1,63;0,81;0,08;0,04;0,32;0,84;0,79;0,51;0,34;0,66;4,0;0,75;0,0;0,0;0,38;0,36;0,3;0,34;0,34
Republic of Ireland Munster Senior League;Ireland;67,0;67,0;3,0;0,59;0,14;0,16;1,22;1,58;1,42;0,53;0,58;0,42;5,0;0,4;2,0;0,0;0,2;0,38;0,78;0,42;0,58
Republic of Ireland FAI Cup;Ireland;67,0;67,0;3,39;0,62;0,17;0,76;1,28;2,07;1,31;0,61;0,39;0,61;25,0;0,32;12,0;0,42;0,37;0,57;0,47;0,43;0,21
Italy Serie B Women;Italy;67,0;67,0;3,06;0,54;0,13;0,04;1,41;1,51;1,55;0,49;0,66;0,34;13,0;0,77;6,0;0,5;0,63;0,56;0,74;0,61;0,7
Nigeria National League;Nigeria;67,0;67,0;2,15;0,62;0,11;0,66;0,81;1,4;0,75;0,65;0,4;0,6;20,0;0,45;0,0;0,0;0,22;0,3;0,47;0,45;0,4
Brazil Campeonato Goiano;Brazil;67,0;67,0;2,51;0,61;0,11;0,45;0,99;1,48;1,03;0,59;0,48;0,52;11,0;0,45;2,0;0,5;0,48;0,41;0,48;0,38;0,48
Taiwan Premier League;Taiwan;67,0;67,0;2,91;0,61;0,13;0,34;1,15;1,63;1,28;0,56;0,48;0,52;15,0;0,6;8,0;0,5;0,55;0,5;0,5;0,47;0,42
Barbados Premier League;Barbados;67,0;66,0;3,18;0,71;0,62;0,49;0,92;1,84;1,34;0,58;0,6;0,4;16,0;0,75;8,0;0,75;0,75;0,75;0,42;0,8;0,67
Azerbaijan Cup;Azerbaijan;67,0;67,0;2,79;0,66;0,15;0,19;0,94;1,49;1,3;0,53;0,48;0,52;20,0;0,65;13,0;0,62;0,63;0,42;0,32;0,59;0,58
Sweden Cup Women;Sweden;66,0;66,0;3,36;0,66;0,15;0,27;1,14;1,82;1,55;0,54;0,47;0,53;29,0;0,52;13,0;0,38;0,45;0,67;0,5;0,37;0,48
Iceland 1 Deild Women;Iceland;66,0;66,0;4,14;0,58;0,16;0,05;1,76;2,05;2,09;0,49;0,64;0,36;9,0;0,56;9,0;0,44;0,5;0,79;0,67;0,69;0,36
Ivory Coast Premier Division;Ivory Coast;66,0;66,0;1,97;0,75;0,11;0,15;0,49;0,91;1,06;0,46;0,33;0,67;5,0;0,6;2,0;0,0;0,3;0,32;0,38;0,33;0,33
Austria League 1 Women;Austria;66,0;66,0;3,65;0,69;0,16;0,2;1,15;1,73;1,92;0,47;0,47;0,53;23,0;0,61;14,0;0,43;0,52;0,44;0,75;0,25;0,5
India Super Cup;India;66,0;66,0;2,74;0,56;0,14;0,53;1,22;1,64;1,11;0,6;0,45;0,55;15,0;0,53;8,0;0,5;0,52;0,62;0,36;0,44;0,5
Mongolia Premier League;Mongolia;66,0;66,0;4,83;0,63;0,2;0,02;1,8;2,42;2,41;0,5;0,61;0,39;16,0;0,31;9,0;0,78;0,55;0,73;0,69;0,64;0,48
Ecuador Cup;Ecuador;66,0;65,0;2,23;0,76;0,11;0,23;0,53;1,0;1,23;0,45;0,45;0,55;7,0;0,57;13,0;0,46;0,52;0,38;0,5;0,48;0,45
Copa Libertadores U20;International (South America);65,0;64,0;2,94;0,64;0,16;0,02;1,04;1,48;1,46;0,5;0,52;0,48;18,0;0,56;6,0;0,33;0,44;0,64;0,58;0,5;0,43
Spain Segunda Division RFEF Play-Offs;Spain;65,0;65,0;2,03;0,78;0,11;0,34;0,45;1,18;0,85;0,58;0,4;0,6;7,0;0,57;0,0;0,0;0,29;0,29;0,42;0,5;0,4
FIFA Club World Cup;International (World);65,0;65,0;3,02;0,72;0,12;0,65;0,83;1,83;1,18;0,61;0,46;0,54;23,0;0,52;9,0;0,44;0,48;0,57;0,46;0,59;0,31
Australia Cup;Australia;65,0;65,0;3,35;0,59;0,17;0,46;1,39;1,45;1,91;0,43;0,51;0,49;6,0;0,67;23,0;0,43;0,55;0,71;0,59;0,43;0,33
Japan League Cup Women;Japan;65,0;65,0;2,49;0,67;0,12;0,06;0,82;1,22;1,28;0,49;0,54;0,46;12,0;0,83;4,0;1,0;0,92;0,42;0,56;0,6;0,71
Singapore Premier League 2;Singapore;65,0;65,0;3,71;0,56;0,14;0,05;1,63;1,83;1,88;0,49;0,63;0,37;11,0;0,73;7,0;0,71;0,72;0,68;0,56;0,69;0,54
Uganda Division 2;Uganda;64,0;64,0;2,28;0,82;0,09;0,44;0,42;1,36;0,92;0,6;0,47;0,53;9,0;0,67;1,0;1,0;0,83;0,53;0,39;0,55;0,47
Brazil Serie A3 Women;Brazil;64,0;64,0;2,67;0,6;0,12;0,45;1,08;1,56;1,11;0,58;0,52;0,48;18,0;0,61;7,0;0,29;0,45;0,62;0,47;0,53;0,46
Uganda Cup;Uganda;64,0;64,0;2,31;0,64;0,1;0,19;0,82;1,25;1,06;0,54;0,27;0,73;15,0;0,2;6,0;0,17;0,18;0,19;0,45;0,17;0,15
Liberia Second Division;Liberia;64,0;64,0;3,2;0,5;0,17;0,33;1,59;1,77;1,44;0,55;0,64;0,36;6,0;0,83;0,0;0,0;0,42;0,59;0,62;0,75;0,64
France Cup Women;France;64,0;64,0;3,45;0,57;0,17;0,33;1,49;1,56;1,89;0,45;0,44;0,56;18,0;0,17;23,0;0,48;0,32;0,44;0,7;0,56;0,27
El Salvador Liga Feminina;El Salvador;63,0;63,0;4,32;0,59;0,19;0,7;1,79;2,51;1,81;0,58;0,6;0,4;23,0;0,61;15,0;0,33;0,47;0,6;1,0;0,64;0,47
Scotland Highland League;Scotland;63,0;62,0;3,02;0,58;0,15;0,6;1,28;1,81;1,21;0,6;0,49;0,51;24,0;0,42;9,0;0,33;0,38;0,67;0,53;0,55;0,37
Sweden 2.div Norrland;Sweden;63,0;63,0;3,17;0,53;0,16;0,13;1,5;1,65;1,52;0,52;0,67;0,33;5,0;0,8;4,0;1,0;0,9;0,47;0,68;0,71;0,67
Vietnam U19 Championship;Vietnam;63,0;63,0;3,51;0,75;0,18;0,84;0,87;2,17;1,33;0,62;0,41;0,59;16,0;0,44;11,0;0,55;0,49;0,67;0,32;0,75;0,38
Australia Tasmania Super League Women;Australia;63,0;63,0;4,68;0,51;0,22;0,24;2,31;2,46;2,22;0,53;0,56;0,44;18,0;0,39;16,0;0,69;0,54;0,56;1,0;0,67;0,43
Nigeria League Women;Nigeria;63,0;63,0;2,56;0,69;0,14;0,62;0,79;1,59;0,97;0,62;0,44;0,56;11,0;0,27;3,0;0,67;0,47;0,64;0,33;0,44;0,38
Japan Cup Women;Japan;63,0;62,0;2,7;0,63;0,11;0,32;1,0;1,51;1,19;0,56;0,49;0,51;23,0;0,61;10,0;0,4;0,5;0,25;0,47;0,6;0,47
Northern Ireland Championship;North Ireland;63,0;63,0;3,14;0,62;0,2;0,44;1,21;1,79;1,35;0,57;0,56;0,44;9,0;0,44;1,0;1,0;0,72;0,71;0,45;0,62;0,56
Iceland U19 League;Iceland;63,0;62,0;4,89;0,47;0,17;0,63;2,6;2,76;2,13;0,56;0,76;0,24;3,0;0,33;5,0;1,0;0,67;0,7;0,82;0,71;0,76
Brazil Campeonato Gaucho;Brazil;63,0;63,0;2,32;0,6;0,1;0,38;0,92;1,35;0,97;0,58;0,51;0,49;14,0;0,5;4,0;0,25;0,38;0,63;0,52;0,62;0,11
Namibia Premier League;Namibia;62,0;57,0;2,27;0,82;0,13;0,15;0,4;1,21;1,06;0,53;0,42;0,58;5,0;0,4;2,0;0,5;0,45;0,43;0,3;0,42;0,42
Philippines PFL;Philippines;62,0;62,0;3,74;0,68;0,16;0,1;1,2;1,82;1,92;0,49;0,48;0,52;19,0;0,63;12,0;0,33;0,48;0,5;0,21;0,75;0,48
Albania Cup;Albania;62,0;62,0;2,26;0,74;0,13;0,58;0,59;1,42;0,84;0,63;0,42;0,58;23,0;0,52;1,0;0,0;0,26;0,56;0,36;0,67;0,31
Bulgaria Cup;Bulgaria;62,0;62,0;2,61;0,64;0,14;0,55;0,93;1,03;1,58;0,4;0,37;0,63;14,0;0,43;21,0;0,29;0,36;0,12;0,5;0,53;0,18
Iceland League Cup B;Iceland;62,0;62,0;4,82;0,45;0,2;0,53;2,63;2,68;2,15;0,56;0,74;0,26;13,0;0,38;10,0;0,6;0,49;0,76;1,0;0,92;0,45
Iceland 4 Deild;Iceland;62,0;62,0;4,29;0,52;0,17;0,06;2,07;2,18;2,11;0,51;0,77;0,23;3,0;1,0;3,0;0,67;0,83;0,9;0,71;0,72;0,77
Northern Ireland Championship Women;North Ireland;62,0;62,0;4,61;0,58;0,18;0,23;1,96;2,42;2,19;0,52;0,68;0,32;13,0;0,85;11,0;0,55;0,7;0,75;0,71;0,67;0,65
Bolivia Liga Nacional U19;Bolivia;62,0;62,0;3,52;0,56;0,14;0,45;1,53;1,98;1,53;0,56;0,63;0,37;11,0;0,64;5,0;1,0;0,82;0,79;0,39;0,82;0,5
Liberia National League Women;Liberia;62,0;62,0;3,21;0,73;0,18;0,15;0,87;1,53;1,68;0,48;0,45;0,55;18,0;0,5;11,0;0,36;0,43;0,46;0,64;0,44;0,36
Copa Libertadores Women;International (South America);62,0;62,0;2,15;0,84;0,12;0,34;0,34;1,24;0,9;0,58;0,26;0,74;23,0;0,39;8,0;0,12;0,26;0,14;0,17;0,35;0,29
Algeria Elite Championship Women;Algeria;62,0;62,0;3,23;0,73;0,17;1,06;0,86;2,15;1,08;0,66;0,34;0,66;25,0;0,4;15,0;0,47;0,43;0,34;0,36;0,3;0,38
Copa do Brazil Women;Brazil;62,0;62,0;2,95;0,58;0,12;0,53;1,25;1,74;1,21;0,59;0,55;0,45;16,0;0,31;6,0;1,0;0,66;0,64;0,53;0,64;0,41
Kosovo U21 League;Kosovo;62,0;62,0;4,55;0,49;0,17;0,65;2,33;2,6;1,95;0,57;0,76;0,24;12,0;0,67;4,0;1,0;0,83;0,83;0,8;0,77;0,5
Peru Liga 3;Peru;61,0;61,0;2,67;0,69;0,12;0,64;0,83;1,66;1,02;0,62;0,49;0,51;7,0;0,86;0,0;0,0;0,43;0,59;0,38;0,49;0,49
Ghana Division 1;Ghana;61,0;61,0;2,34;0,6;0,12;0,44;0,93;1,39;0,95;0,59;0,41;0,59;9,0;0,78;1,0;0,0;0,39;0,47;0,29;0,5;0,41
Saudi Arabia Cup;Saudi Arabia;61,0;61,0;2,74;0,49;0,15;0,18;1,38;1,28;1,46;0,47;0,56;0,44;16,0;0,56;16,0;0,62;0,59;0,56;0,42;0,67;0,47
Brazil Campeonato Carioca B;Brazil;61,0;61,0;2,0;0,77;0,1;0,3;0,46;1,15;0,85;0,57;0,38;0,62;2,0;0,5;0,0;0,0;0,25;0,39;0,42;0,38;0,38
Egypt Premier League Women;Egypt;61,0;61,0;3,66;0,63;0,19;0,61;1,34;2,13;1,52;0,58;0,51;0,49;16,0;0,56;13,0;0,31;0,44;0,75;0,5;0,67;0,39
Finland Ykkonen Women;Finland;61,0;61,0;3,51;0,61;0,17;0,75;1,37;2,13;1,38;0,61;0,52;0,48;15,0;0,47;7,0;0,57;0,52;0,5;0,65;0,43;0,47
Kenya League Women;Kenya;61,0;61,0;2,7;0,7;0,12;0,28;0,8;1,49;1,21;0,55;0,46;0,54;12,0;0,25;7,0;0,29;0,27;0,9;0,6;0,13;0,36
Oman Sultans Cup;Oman;61,0;60,0;2,03;0,78;0,13;0,03;0,45;1,03;1,0;0,51;0,34;0,66;8,0;0,25;4,0;0,5;0,38;0,26;0,46;0,33;0,34
Brazil Paulista Women;Brazil;61,0;61,0;2,89;0,6;0,12;0,3;1,14;1,59;1,3;0,55;0,39;0,61;19,0;0,26;14,0;0,36;0,31;0,43;0,56;0,54;0,21
Puerto Rico League;Puerto Rico;61,0;61,0;4,77;0,47;0,17;0,31;2,52;2,23;2,54;0,47;0,64;0,36;14,0;0,43;13,0;0,54;0,48;0,67;0,75;0,92;0,38
Coppa Italia Women;Italy;60,0;59,0;3,12;0,6;0,14;0,05;1,25;1,53;1,58;0,49;0,45;0,55;15,0;0,4;18,0;0,5;0,45;0,56;0,43;0,33;0,48
Brazil Campeonato Carioca;Brazil;60,0;59,0;2,57;0,7;0,1;0,47;0,77;1,52;1,05;0,59;0,52;0,48;15,0;0,47;1,0;1,0;0,73;0,73;0,33;0,6;0,33
South America - World Cup Qualifying;International (South America);60,0;60,0;2,08;0,89;0,09;0,95;0,23;1,52;0,57;0,73;0,32;0,68;28,0;0,29;6,0;1,0;0,64;0,17;0,41;0,53;0,12
Vietnam Cup;Vietnam;60,0;60,0;2,5;0,66;0,14;0,17;0,85;1,33;1,17;0,53;0,52;0,48;16,0;0,44;3,0;0,33;0,39;0,36;0,67;0,58;0,25
Vietnam Division 2;Vietnam;60,0;60,0;2,1;0,65;0,14;0,53;0,73;1,32;0,78;0,63;0,3;0,7;12,0;0,25;8,0;0,38;0,31;0,3;0,29;0,38;0,2
Ecuador Primera Women;Ecuador;60,0;60,0;3,65;0,69;0,15;0,88;1,15;2,27;1,38;0,62;0,5;0,5;20,0;0,5;16,0;0,31;0,41;0,5;0,75;0,65;0,25
Australia Victoria State League 1;Australia;60,0;60,0;3,25;0,45;0,16;0,12;1,79;1,68;1,57;0,52;0,67;0,33;5,0;0,4;7,0;0,71;0,56;0,67;0,75;0,7;0,17
Uzbekistan 1st Division;Uzbekistan;60,0;60,0;2,67;0,58;0,14;0,47;1,12;1,57;1,1;0,59;0,52;0,48;6,0;0,33;1,0;1,0;0,67;0,75;0,6;0,38;0,52
Fiji Cup;Fiji;59,0;59,0;2,59;0,79;0,2;0,69;0,54;1,64;0,95;0,63;0,39;0,61;8,0;0,25;2,0;1,0;0,62;0,5;0,3;0,44;0,29
Denmark U19 League;Denmark;59,0;59,0;3,31;0,57;0,16;0,15;1,43;1,73;1,58;0,52;0,68;0,32;7,0;0,71;4,0;0,75;0,73;0,57;0,68;0,82;0,83
Denmark Play-Offs Women;Denmark;59,0;57,0;3,08;0,67;0,14;0,51;1,02;1,8;1,29;0,58;0,56;0,44;12,0;0,5;9,0;0,44;0,47;0,5;0,68;0,47;0,46
Australia Capital Territory NPL2;Australia;59,0;59,0;3,93;0,53;0,15;0,54;1,85;2,24;1,69;0,57;0,64;0,36;18,0;0,56;3,0;1,0;0,78;0,75;0,67;0,6;0,58
Iceland Pre-Season Cup;Iceland;59,0;59,0;4,63;0,43;0,22;0,56;2,65;2,59;2,03;0,56;0,78;0,22;17,0;0,82;11,0;0,91;0,87;0,67;0,62;0,93;0,83
Brazil Campeonato Mineiro;Brazil;59,0;59,0;2,32;0,79;0,09;0,12;0,5;1,1;1,22;0,47;0,51;0,49;11,0;0,55;6,0;0,83;0,69;0,67;0,43;0,7;0,29
Czechia Div 2 Women;Czech Republic;59,0;59,0;3,95;0,52;0,16;0,53;1,89;2,24;1,71;0,57;0,64;0,36;14,0;0,71;7,0;0,86;0,79;0,67;0,61;0,73;0,73
Finland Ykkoscup;Finland;59,0;59,0;2,78;0,6;0,14;0,2;1,11;1,49;1,29;0,54;0,63;0,37;7,0;0,43;2,0;1,0;0,71;0,56;0,76;0,42;0,63
Australia Northern NSW Premier League Women;Australia;59,0;56,0;3,92;0,63;0,19;0,19;1,46;1,86;2,05;0,48;0,51;0,49;10,0;0,6;12,0;0,58;0,59;0,29;0,47;0,62;0,53
Nicaragua Apertura;Nicaragua;59,0;59,0;3,03;0,59;0,14;0,69;1,25;1,86;1,17;0,61;0,47;0,53;19,0;0,42;5,0;0,6;0,51;0,5;0,57;0,33;0,46
